Year	RK	PLAYER	TEAM	ATT	YDS	YDS/A	LONG	20+	TD	YDS/G	FUM	1DN
2008	1	Adrian Peterson, RB	MIN	363	1,760	4.8	67	20	10	110.0	9	81
2008	2	Michael Turner, RB	ATL	376	1,699	4.5	70	11	17	106.2	3	84
2008	3	DeAngelo Williams, RB	CAR	273	1,515	5.5	69	15	18	94.7	0	66
2008	4	Clinton Portis, RB	WSH	342	1,487	4.3	31	13	9	92.9	3	75
2008	5	Thomas Jones, RB	NYJ	290	1,312	4.5	59	6	13	82.0	2	63
2008	6	Steve Slaton, RB	HOU	268	1,282	4.8	71	13	9	80.1	2	60
2008	7	Matt Forte, RB	CHI	316	1,238	3.9	50	8	8	77.4	1	63
2008	8	Chris Johnson, RB	TEN	251	1,228	4.9	66	9	9	81.9	1	54
2008	9	Ryan Grant, RB	GB	312	1,203	3.9	57	6	4	75.2	4	53
2008	10	LaDainian Tomlinson, RB	SD	292	1,110	3.8	45	6	11	69.4	0	52
2008	11	Brandon Jacobs, RB	NYG	219	1,089	5.0	44	12	15	83.8	3	57
2008	12	Steven Jackson, RB	STL	253	1,042	4.1	56	6	7	86.8	5	58
2008	13	Marshawn Lynch, RB	BUF	250	1,036	4.1	50	5	8	69.1	2	53
2008	13 	Frank Gore, RB	SF	240	1,036	4.3	41	8	6	74.0	6	44
2008	15	Derrick Ward, RB	NYG	182	1,025	5.6	51	8	2	64.1	2	53
2008	16	Jamal Lewis, RB	CLE	279	1,002	3.6	29	3	4	62.6	1	42
2008	17	Kevin Smith, RB	DET	238	976	4.1	50	8	8	61.0	2	49
2008	18	Brian Westbrook, RB	PHI	233	936	4.0	39	5	9	66.9	1	49
2008	19	Ronnie Brown, RB	MIA	214	916	4.3	62	4	10	57.3	1	48
2008	20	Le'Ron McClain, FB	BAL	232	902	3.9	82	2	10	56.4	3	51
2008	21	Marion Barber, RB	DAL	238	885	3.7	35	4	7	59.0	3	57
2008	22	Larry Johnson, RB	KC	193	874	4.5	65	7	5	72.8	5	44
2008	23	Justin Fargas, RB	OAK	218	853	3.9	42	2	1	60.9	3	32
2008	24	Jonathan Stewart, RB	CAR	184	836	4.5	41	8	10	52.3	2	42
2008	25	Maurice Jones-Drew, RB	JAX	197	824	4.2	46	3	12	51.5	4	47
2008	26	Willie Parker, RB	PIT	210	791	3.8	34	4	5	71.9	0	29
2008	27	Warrick Dunn, RB	TB	186	786	4.2	40	3	2	52.4	0	31
2008	28	LenDale White, RB	TEN	200	773	3.9	80	4	15	48.3	0	43
2008	29	Cedric Benson, RB	CIN	214	747	3.5	46	3	2	62.3	2	36
2008	30	Sammy Morris, RB	NE	156	727	4.7	35	6	7	55.9	1	45
2008	31	Julius Jones, RB	SEA	158	698	4.4	33	6	2	46.5	4	29
2008	32	Willis McGahee, RB	BAL	170	671	3.9	77	1	7	51.6	2	34
2008	33	Ricky Williams, RB	MIA	160	659	4.1	51	4	4	41.2	4	35
2008	34	Pierre Thomas, RB	NO	129	625	4.8	42	3	9	41.7	1	43
2008	35	Mewelde Moore, RB	PIT	140	588	4.2	32	4	5	36.8	0	36
2008	36	Maurice Morris, RB	SEA	132	574	4.3	45	4	0	44.2	1	27
2008	37	Fred Jackson, RB	BUF	130	571	4.4	32	3	3	35.7	1	34
2008	38	Earnest Graham, RB	TB	132	563	4.3	68	3	4	56.3	2	26
2008	39	Fred Taylor, RB	JAX	143	556	3.9	34	5	1	42.8	0	24
2008	40	Joseph Addai, RB	IND	155	544	3.5	23	1	5	45.3	1	34
2008	41	Dominic Rhodes, RB	IND	152	538	3.5	38	3	6	35.9	0	27
2008	42	Edgerrin James, RB	ARI	133	514	3.9	35	1	3	39.5	1	24
2008	43	Kevin Faulk, RB	NE	83	507	6.1	41	4	3	33.8	0	24
2008	44	Darren McFadden, RB	OAK	113	499	4.4	50	4	4	38.4	3	24
2008	45	Jerious Norwood, RB	ATL	95	489	5.1	45	4	4	30.6	1	22
2008	46	Tashard Choice, RB	DAL	92	472	5.1	38	5	2	29.5	0	25
2008	47	Ray Rice, RB	BAL	107	454	4.2	60	3	0	34.9	1	19
2008	48	Leon Washington, RB	NYJ	76	448	5.9	61	3	6	28.0	1	14
2008	49	Michael Bush, RB	OAK	95	421	4.4	67	2	3	28.1	1	15
2008	50	Deuce McAllister, RB	NO	107	418	3.9	19	0	5	32.2	0	23
2008	51	Reggie Bush, RB	NO	106	404	3.8	43	4	2	40.4	2	20
2008	52	Chester Taylor, RB	MIN	101	399	4.0	21	2	4	24.9	0	19
2008	52 	Tim Hightower, RB	ARI	143	399	2.8	30	1	10	24.9	1	34
2008	54	Tyler Thigpen, QB	KC	62	386	6.2	32	4	3	27.6	4	22
2008	55	Correll Buckhalter, RB	PHI	76	369	4.9	33	5	2	26.4	0	18
2008	56	LaMont Jordan, RB	NE	80	363	4.5	49	1	4	45.4	1	21
2008	57	Jamaal Charles, RB	KC	67	357	5.3	30	3	0	22.3	1	17
2008	58	Ahmad Bradshaw, RB	NYG	67	355	5.3	77	4	1	23.7	2	13
2008	59	Peyton Hillis, RB	DEN	68	343	5.0	19	0	5	28.6	0	24
2008	60	Darren Sproles, RB	SD	61	330	5.4	37	3	1	20.6	0	15
2008	61	David Garrard, QB	JAX	73	322	4.4	24	2	2	20.1	1	31
2008	62	Michael Pittman, RB	DEN	76	320	4.2	20	1	4	40.0	0	25
2008	63	Ryan Fitzpatrick, QB	CIN	60	304	5.1	22	2	2	23.4	3	24
2008	64	Selvin Young, RB	DEN	61	303	5.0	49	1	1	37.9	1	9
2008	65	Antonio Pittman, RB	STL	79	296	3.7	24	2	0	24.7	0	16
2008	66	Ahman Green, RB	HOU	74	294	4.0	14	0	3	36.8	0	23
2008	67	BenJarvus Green-Ellis, RB	NE	74	275	3.7	15	0	5	30.6	0	23
2008	68	Matt Cassel, QB	NE	73	270	3.7	19	0	2	16.9	2	23
2008	69	Chris Perry, RB	CIN	104	269	2.6	25	1	2	20.7	5	11
2008	70	Felix Jones, RB	DAL	30	266	8.9	60	3	3	44.3	0	12
2008	71	Jason Campbell, QB	WSH	47	258	5.5	23	2	1	16.1	0	15
2008	72	Tatum Bell, RB	DEN	44	249	5.7	37	3	2	35.6	0	11
2008	73	Brandon Jackson, RB	GB	45	248	5.5	32	2	1	19.1	1	14
2008	74	Jerome Harrison, RB	CLE	34	246	7.2	72	2	1	16.4	0	10
2008	75	Rudi Johnson, RB	DET	76	237	3.1	27	1	1	16.9	1	11
2008	76	DeShaun Foster, RB	SF	76	234	3.1	18	0	1	14.6	2	12
2008	77	Cadillac Williams, RB	TB	63	233	3.7	28	1	4	38.8	1	17
