Year	RK	PLAYER	TEAM	ATT	YDS	YDS/A	LONG	20+	TD	YDS/G	FUM	1DN
2007	1	LaDainian Tomlinson, RB	SD	315	1,474	4.7	49	13	15	92.1	0	75
2007	2	Adrian Peterson, RB	MIN	238	1,341	5.6	73	11	12	95.8	4	62
2007	3	Brian Westbrook, RB	PHI	278	1,333	4.8	36	11	7	88.9	0	73
2007	4	Willie Parker, RB	PIT	321	1,316	4.1	32	12	2	87.7	4	49
2007	5	Jamal Lewis, RB	CLE	298	1,304	4.4	66	9	9	86.9	4	58
2007	6	Clinton Portis, RB	WSH	325	1,262	3.9	32	3	11	78.9	6	61
2007	7	Edgerrin James, RB	ARI	324	1,222	3.8	27	4	7	76.4	4	52
2007	8	Willis McGahee, RB	BAL	294	1,207	4.1	46	5	7	80.5	4	56
2007	9	Fred Taylor, RB	JAX	223	1,202	5.4	80	8	5	80.1	2	45
2007	10	Thomas Jones, RB	NYJ	310	1,119	3.6	36	2	1	69.9	2	55
2007	11	Marshawn Lynch, RB	BUF	280	1,115	4.0	56	6	7	85.8	1	51
2007	12	LenDale White, RB	TEN	303	1,110	3.7	28	4	7	69.4	5	57
2007	13	Frank Gore, RB	SF	260	1,102	4.2	43	5	5	73.5	3	42
2007	14	Joseph Addai, RB	IND	261	1,072	4.1	23	2	12	71.5	0	65
2007	15	Justin Fargas, RB	OAK	222	1,009	4.5	48	6	4	72.1	3	52
2007	15 	Brandon Jacobs, RB	NYG	202	1,009	5.0	43	4	4	91.7	4	49
2007	17	Steven Jackson, RB	STL	237	1,002	4.2	54	8	5	83.5	3	36
2007	18	Marion Barber, RB	DAL	204	975	4.8	54	8	10	60.9	1	48
2007	19	Ryan Grant, RB	GB	188	956	5.1	66	11	8	63.7	0	36
2007	20	Earnest Graham, RB	TB	222	898	4.0	28	6	10	59.9	0	46
2007	21	DeShaun Foster, RB	CAR	247	876	3.5	20	1	3	54.8	5	42
2007	22	Chester Taylor, RB	MIN	157	844	5.4	84	8	7	60.3	5	35
2007	23	Laurence Maroney, RB	NE	185	835	4.5	59	2	6	64.2	0	49
2007	24	Ron Dayne, RB	HOU	194	773	4.0	39	5	6	59.5	1	43
2007	25	Maurice Jones-Drew, RB	JAX	167	768	4.6	57	8	9	51.2	1	46
2007	26	Kenny Watson, RB	CIN	178	763	4.3	24	1	7	47.7	2	40
2007	27	Selvin Young, RB	DEN	140	729	5.2	50	8	1	48.6	1	22
2007	28	Warrick Dunn, RB	ATL	227	720	3.2	38	3	4	45.0	2	34
2007	29	DeAngelo Williams, RB	CAR	144	717	5.0	75	5	4	44.8	0	27
2007	30	Shaun Alexander, RB	SEA	207	716	3.5	25	5	4	55.1	2	37
2007	31	Travis Henry, RB	DEN	167	691	4.1	33	3	4	57.6	3	36
2007	32	Cedric Benson, RB	CHI	196	674	3.4	43	3	4	61.3	3	33
2007	33	Maurice Morris, RB	SEA	140	628	4.5	46	4	4	44.9	1	32
2007	34	Jerious Norwood, RB	ATL	103	613	6.0	67	6	1	40.9	0	25
