Year	RK	PLAYER	TEAM	ATT	YDS	YDS/A	LONG	20+	TD	YDS/G	FUM	1DN
2011	1	Maurice Jones-Drew, RB	JAX	343	1,606	4.7	56	9	8	100.4	3	75
2011	2	Ray Rice, RB	BAL	291	1,364	4.7	70	9	12	85.3	2	52
2011	3	Michael Turner, RB	ATL	301	1,340	4.5	81	11	11	83.8	3	62
2011	4	LeSean McCoy, RB	PHI	273	1,309	4.8	60	14	17	87.3	1	84
2011	5	Arian Foster, RB	HOU	278	1,224	4.4	43	7	10	94.2	4	58
2011	6	Frank Gore, RB	SF	282	1,211	4.3	55	11	8	75.7	2	53
2011	7	Marshawn Lynch, RB	SEA	285	1,204	4.2	47	4	12	80.3	3	63
2011	8	Willis McGahee, RB	DEN	249	1,199	4.8	60	10	4	79.9	3	52
2011	9	Steven Jackson, RB	STL	260	1,145	4.4	47	6	5	76.3	1	50
2011	10	Ryan Mathews, RB	SD	222	1,091	4.9	39	9	6	77.9	5	52
2011	11	Reggie Bush, RB	MIA	216	1,086	5.0	76	7	6	72.4	4	40
2011	12	Cedric Benson, RB	CIN	273	1,067	3.9	42	4	6	71.1	5	53
2011	13	Shonn Greene, RB	NYJ	253	1,054	4.2	31	4	6	65.9	1	46
2011	14	Chris Johnson, RB	TEN	262	1,047	4.0	48	11	4	65.4	3	47
2011	14 	Beanie Wells, RB	ARI	245	1,047	4.3	71	5	10	74.8	4	48
2011	16	Matt Forte, RB	CHI	203	997	4.9	46	12	3	83.1	1	40
2011	17	Michael Bush, RB	OAK	256	977	3.8	44	5	7	61.1	1	53
2011	18	Adrian Peterson, RB	MIN	208	970	4.7	54	7	12	80.8	1	49
2011	19	Ben Tate, RB	HOU	175	942	5.4	56	6	4	62.8	4	52
2011	20	Fred Jackson, RB	BUF	170	934	5.5	80	10	6	93.4	2	40
2011	21	Rashard Mendenhall, RB	PIT	228	928	4.1	68	3	9	61.9	1	45
2011	22	DeMarco Murray, RB	DAL	164	897	5.5	91	7	2	69.0	1	41
2011	23	DeAngelo Williams, RB	CAR	155	836	5.4	74	11	7	52.3	0	32
2011	24	LeGarrette Blount, RB	TB	184	781	4.2	54	4	5	55.8	3	32
2011	25	Jonathan Stewart, RB	CAR	142	761	5.4	32	6	4	47.6	1	47
2011	26	Cam Newton, QB	CAR	126	706	5.6	49	6	14	44.1	2	51
2011	27	BenJarvus Green-Ellis, RB	NE	181	667	3.7	18	0	11	41.7	0	41
2011	28	Tim Tebow, QB	DEN	122	660	5.4	32	5	6	47.1	6	35
2011	29	Ahmad Bradshaw, RB	NYG	171	659	3.9	37	3	9	54.9	0	42
2011	30	Donald Brown, RB	IND	134	645	4.8	80	4	5	40.3	0	26
2011	31	Roy Helu, RB	WSH	151	640	4.2	28	4	2	42.7	1	31
2011	32	Darren McFadden, RB	OAK	113	614	5.4	70	8	4	87.7	1	23
2011	33	Darren Sproles, RB	NO	87	603	6.9	36	7	2	37.7	0	27
2011	34	Jackie Battle, RB	KC	149	597	4.0	34	3	2	39.8	0	27
2011	35	Michael Vick, QB	PHI	76	589	7.8	53	5	1	45.3	7	28
2011	36	Peyton Hillis, RB	CLE	161	587	3.6	24	1	3	58.7	1	33
2011	37	Daniel Thomas, RB	MIA	165	581	3.5	28	2	0	44.7	2	24
2011	38	James Starks, RB	GB	133	578	4.3	40	5	1	44.5	2	31
2011	39	Felix Jones, RB	DAL	127	575	4.5	40	4	1	47.9	3	27
2011	40	Brandon Jacobs, RB	NYG	152	571	3.8	28	1	7	40.8	3	32
2011	41	Pierre Thomas, RB	NO	110	562	5.1	33	2	5	35.1	1	28
2011	42	C.J. Spiller, RB	BUF	107	561	5.2	38	7	4	35.1	2	26
2011	43	Ryan Grant, RB	GB	134	559	4.2	47	2	2	37.3	1	27
2011	44	Toby Gerhart, RB	MIN	109	531	4.9	67	3	1	33.2	1	24
2011	45	Dexter McCluster, RB	KC	114	516	4.5	32	4	1	32.3	1	28
2011	46	Mike Tolbert, FB	SD	121	490	4.1	40	3	8	32.7	1	25
2011	47	Isaac Redman, RB	PIT	110	479	4.4	27	3	3	29.9	2	29
2011	48	Thomas Jones, RB	KC	153	478	3.1	26	3	0	29.9	0	19
2011	49	Mark Ingram, RB	NO	122	474	3.9	35	2	5	47.4	1	30
2011	50	Kendall Hunter, RB	SF	112	473	4.2	44	3	2	29.6	0	21
2011	51	Ricky Williams, RB	BAL	108	444	4.1	28	3	2	27.8	2	20
2011	52	Stevan Ridley, RB	NE	87	441	5.1	33	5	1	27.6	1	18
2011	53	Joseph Addai, RB	IND	118	433	3.7	16	0	1	36.1	1	16
2011	54	Marion Barber, RB	CHI	114	422	3.7	29	2	6	38.4	1	26
2011	55	Lance Ball, RB	DEN	96	402	4.2	34	2	1	25.1	1	25
2011	56	Jahvid Best, RB	DET	84	390	4.6	88	2	2	65.0	0	15
2011	57	Bernard Scott, RB	CIN	112	380	3.4	25	1	3	23.8	0	20
2011	58	Delone Carter, RB	IND	101	377	3.7	42	2	2	23.6	3	19
2011	59	Chris Ivory, RB	NO	79	374	4.7	35	2	1	62.3	0	21
2011	60	Cadillac Williams, RB	STL	87	361	4.1	23	1	1	32.8	0	19
2011	61	Kevin Smith, RB	DET	72	356	4.9	43	2	4	50.9	0	16
2011	62	Danny Woodhead, RB	NE	77	351	4.6	12	0	1	23.4	0	18
2011	63	Percy Harvin, WR	MIN	52	345	6.6	39	5	2	21.6	0	15
2011	64	Kahlil Bell, RB	CHI	79	337	4.3	26	2	0	25.9	2	13
2011	65	Chris Ogbonnaya, RB	CLE/HOU	73	334	4.6	40	3	1	30.4	2	13
2011	66	Evan Royster, RB	WSH	56	328	5.9	28	2	0	54.7	0	17
2011	67	Tim Hightower, RB	WSH	84	321	3.8	22	2	1	64.2	0	13
2011	68	Maurice Morris, RB	DET	80	316	4.0	31	1	1	19.8	1	12
2011	69	LaDainian Tomlinson, RB	NYJ	75	280	3.7	20	1	1	20.0	0	15
2011	70	Montario Hardesty, RB	CLE	88	266	3.0	19	0	0	26.6	1	6
2011	71	Aaron Rodgers, QB	GB	60	257	4.3	25	1	3	17.1	0	18
2011	72	Leon Washington, RB	SEA	53	248	4.7	48	3	1	15.5	0	8
2011	73	Josh Freeman, QB	TB	55	238	4.3	25	1	4	15.9	3	25
2011	74	Christian Ponder, QB	MIN	28	219	7.8	28	1	0	19.9	1	13
2011	75	Ryan Fitzpatrick, QB	BUF	56	215	3.8	18	0	0	13.4	5	18
2011	76	Colt McCoy, QB	CLE	61	212	3.5	20	1	0	16.3	6	17
2011	77	Earnest Graham, RB	TB	37	206	5.6	34	2	0	29.4	1	6
2011	78	Jacquizz Rodgers, RB	ATL	57	205	3.6	13	0	1	12.8	1	15
2011	79	Ryan Torain, RB	WSH	59	200	3.4	39	2	1	25.0	1	5
2011	80	Keiland Williams, RB	DET	58	195	3.4	18	0	2	13.0	2	10
2011	81	Javon Ringer, RB	TEN	59	185	3.1	25	1	1	15.4	0	7
2011	82	Knowshon Moreno, RB	DEN	37	179	4.8	24	2	0	25.6	1	5
2011	82	Alex Smith, QB	SF	52	179	3.4	14	0	2	11.2	2	13
2011	84	LaRod Stephens-Howling, RB	ARI	43	167	3.9	39	1	0	11.9	0	5
2011	85	D.J. Ware, RB	NYG	46	163	3.5	17	0	0	10.2	0	7
2011	86	Mewelde Moore, RB	PIT	22	157	7.1	21	1	0	13.1	1	6
2011	87	Joe Webb, QB	MIN	22	154	7.0	65	1	2	14.0	0	9
2011	87	Derrick Ward, RB	HOU	45	154	3.4	15	0	2	12.8	0	11
2011	89	Andy Dalton, QB	CIN	37	152	4.1	17	0	1	9.5	1	9
2011	90	Jason Snelling, FB	ATL	44	151	3.4	18	0	0	10.1	0	8
2011	91	Justin Forsett, RB	SEA	46	145	3.2	22	1	1	9.1	0	6
2011	92	Ronnie Brown, RB	PHI	42	136	3.2	15	0	1	8.5	1	11
2011	93	Joe McKnight, RB	NYJ	43	134	3.1	11	0	0	8.9	0	8
2011	94	Deji Karim, RB	JAX	63	130	2.1	14	0	0	10.8	0	9
2011	95	John Skelton, QB	ARI	28	128	4.6	14	0	0	16.0	2	11
2011	96	Jonathan Dwyer, RB	PIT	16	123	7.7	76	1	0	17.6	0	2
2011	97	Marcel Reece, FB	OAK	17	112	6.6	26	2	0	9.3	0	7
2011	97	Chad Henne, QB	MIA	15	112	7.5	20	1	1	28.0	1	7
2011	99	Tom Brady, QB	NE	43	109	2.5	13	0	3	6.8	2	20
2011	100	Tarvaris Jackson, QB	SEA	40	108	2.7	13	0	1	7.2	3	7
2011	101	Curtis Painter, QB	IND	17	107	6.3	24	1	0	11.9	2	7
2011	102	Kregg Lumpkin, RB	TB	31	105	3.4	19	0	0	6.6	0	5
2011	103	Mark Sanchez, QB	NYJ	37	103	2.8	25	1	6	6.4	6	12
2011	104	Dion Lewis, RB	PHI	23	102	4.4	20	1	1	6.8	0	5
2011	104	Alfonso Smith, RB	ARI	30	102	3.4	12	0	1	6.8	0	7
2011	106	Curtis Brinkley, RB	SD	30	101	3.4	12	0	1	10.1	0	4
2011	107	Matt Cassel, QB	KC	25	99	4.0	11	0	0	11.0	1	5
2011	108	Caleb Hanie, QB	CHI	13	98	7.5	24	1	0	16.3	0	5
2011	108	Sammy Morris, RB	DAL	28	98	3.5	15	0	0	32.7	0	7
2011	108	Blaine Gabbert, QB	JAX	48	98	2.0	12	0	0	6.5	8	8
2011	111	Jacob Hester, RB	SD	28	90	3.2	16	0	0	5.6	0	8
2011	112	Joe Flacco, QB	BAL	39	88	2.3	33	1	1	5.5	2	13
2011	113	Brad Smith, WR	BUF	20	87	4.4	18	0	1	5.8	0	7
2011	113	Anthony Dixon, RB	SF	29	87	3.0	9	0	2	5.4	0	6
2011	115	Drew Brees, QB	NO	21	86	4.1	20	1	1	5.4	1	5
2011	116	Brian Leonard, RB	CIN	17	85	5.0	14	0	0	6.5	0	5
2011	116	Nate Burleson, WR	DET	11	85	7.7	20	1	0	5.3	0	6
2011	118	Matt Ryan, QB	ATL	37	84	2.3	12	0	2	5.3	0	11
2011	119	Jamaal Charles, RB	KC	12	83	6.9	24	2	0	41.5	1	3
2011	120	Vince Young, QB	PHI	18	79	4.4	13	0	0	13.2	0	4
