1	Drew Brees, QB	NO	471	673	70.0	5,208	7.74	98	37	15	27	101.7	326
2	Matt Ryan, QB	ATL	373	534	69.9	4,944	9.26	76	38	7	37	117.1	309
3	Kirk Cousins, QB	WSH	406	606	67.0	4,917	8.11	80	25	12	23	97.2	307
4	Aaron Rodgers, QB	GB	401	610	65.7	4,428	7.26	66	40	7	35	104.2	277
5	Philip Rivers, QB	LAC	349	578	60.4	4,386	7.59	59	33	21	36	87.9	274
6	Matthew Stafford, QB	DET	388	594	65.3	4,327	7.29	73	24	10	37	93.3	270
7	Joe Flacco, QB	BAL	436	672	64.9	4,317	6.42	95	20	15	33	83.5	270
8	Andrew Luck, QB	IND	346	545	63.5	4,240	7.78	64	31	13	41	96.4	283
9	Carson Palmer, QB	ARI	364	597	61.0	4,233	7.09	80	26	14	40	87.2	282
10	Russell Wilson, QB	SEA	353	546	64.7	4,219	7.73	59	21	11	41	92.6	264
11	Andy Dalton, QB	CIN	364	563	64.7	4,206	7.47	86	18	8	41	91.8	263
12	Jameis Winston, QB	TB	345	567	60.8	4,090	7.21	45	28	18	35	86.1	256
13	Eli Manning, QB	NYG	377	598	63.0	4,027	6.73	75	26	16	21	86.0	252
14	Derek Carr, QB	OAK	357	560	63.8	3,937	7.03	75	28	6	16	96.7	262
15	Blake Bortles, QB	JAX	368	625	58.9	3,905	6.25	51	23	16	34	78.8	244
16	Sam Bradford, QB	MIN	395	552	71.6	3,877	7.02	71	20	5	37	99.3	258
17	Ben Roethlisberger, QB	PIT	328	509	64.4	3,819	7.50	72	29	13	17	95.4	273
18	Carson Wentz, QB	PHI	379	607	62.4	3,782	6.23	73	16	14	33	79.3	236
19	Dak Prescott, QB	DAL	311	459	67.8	3,667	7.99	83	23	4	25	104.9	229
20	Tom Brady, QB	NE	291	432	67.4	3,554	8.23	79	28	2	15	112.2	296
21	Cam Newton, QB	CAR	270	510	52.9	3,509	6.88	88	19	14	36	75.8	234
22	Alex Smith, QB	KC	328	489	67.1	3,502	7.16	80	15	8	28	91.2	233
23	Marcus Mariota, QB	TEN	276	451	61.2	3,426	7.60	60	26	9	23	95.6	228
24	Trevor Siemian, QB	DEN	289	486	59.5	3,401	7.00	76	18	10	31	84.6	243
25	Tyrod Taylor, QB	BUF	269	436	61.7	3,023	6.93	84	17	6	42	89.6	202
26	Ryan Tannehill, QB	MIA	261	389	67.1	2,995	7.70	74	19	12	29	93.5	230
27	Brock Osweiler, QB	HOU	301	510	59.0	2,957	5.80	53	15	16	27	72.2	197
28	Ryan Fitzpatrick, QB	NYJ	228	403	56.6	2,710	6.73	57	12	17	19	69.6	194
29	Colin Kaepernick, QB	SF	196	331	59.2	2,241	6.77	65	16	4	36	90.7	187
30	Case Keenum, QB	LAR	196	322	60.9	2,201	6.84	65	9	11	23	76.4	220
31	Matt Barkley, QB	CHI/ARI	129	216	59.7	1,611	7.46	37	8	14	6	68.3	230
32	Brian Hoyer, QB	CHI	134	200	67.0	1,445	7.23	64	6	0	4	98.0	241
33	Cody Kessler, QB	CLE	128	195	65.6	1,380	7.08	44	6	2	21	92.3	153
34	Josh McCown, QB	CLE	90	165	54.5	1,100	6.67	54	6	6	18	72.3	220
35	Jared Goff, QB	LAR	112	205	54.6	1,089	5.31	66	5	7	26	63.6	156
36	Jay Cutler, QB	CHI	81	137	59.1	1,059	7.73	54	4	5	17	78.1	212
37	Blaine Gabbert, QB	SF	91	160	56.9	925	5.78	75	5	6	11	68.4	154
38	Robert Griffin III, QB	CLE	87	147	59.2	886	6.03	58	2	3	22	72.5	177
39	Bryce Petty, QB	NYJ	75	133	56.4	809	6.08	52	3	7	13	60.0	135
40	Matt Moore, QB	MIA	55	87	63.2	721	8.29	66	8	3	1	105.6	180
41	Landry Jones, QB	PIT	53	86	61.6	558	6.49	51	4	2	4	86.3	70
42	Jimmy Garoppolo, QB	NE	43	63	68.3	502	7.97	37	4	0	3	113.3	84
43	Paxton Lynch, QB	DEN	49	83	59.0	497	5.99	31	2	1	9	79.2	166
44	Tom Savage, QB	HOU	46	73	63.0	461	6.32	32	0	0	5	80.9	154
45	Derek Anderson, QB	CAR	36	53	67.9	453	8.55	48	2	5	0	67.6	91
46	Nick Foles, QB	KC	36	55	65.5	410	7.46	49	3	0	4	105.9	137
47	Jacoby Brissett, QB	NE	34	55	61.8	400	7.27	58	0	0	6	83.9	133
48	Matt Cassel, QB	TEN	30	51	58.8	284	5.57	50	2	2	5	71.0	71
49	Shaun Hill, QB	MIN	19	35	54.3	242	6.91	33	0	0	1	76.1	81
50	Scott Tolzien, QB	IND	23	37	62.2	216	5.84	32	1	2	3	64.7	72
51	Drew Stanton, QB	ARI	19	48	39.6	192	4.00	29	2	3	1	39.6	38
