Year	RK	PLAYER	TEAM	ATT	YDS	YDS/A	LONG	20+	TD	YDS/G	FUM	1DN
2002	1	Ricky Williams, RB	MIA	383	1,853	4.8	63	7	16	115.8	7	89
2002	2	LaDainian Tomlinson, RB	SD	372	1,683	4.5	76	12	14	105.2	2	90
2002	3	Priest Holmes, RB	KC	313	1,615	5.2	56	9	21	115.4	1	100
2002	4	Clinton Portis, RB	DEN	273	1,508	5.5	59	11	15	94.3	5	79
2002	5	Travis Henry, RB	BUF	325	1,438	4.4	34	10	13	89.9	11	72
2002	6	Deuce McAllister, RB	NO	325	1,388	4.3	62	10	13	92.5	4	65
2002	7	Tiki Barber, RB	NYG	304	1,387	4.6	70	12	11	86.7	5	67
2002	8	Jamal Lewis, RB	BAL	308	1,327	4.3	75	10	6	82.9	7	63
2002	9	Fred Taylor, RB	JAX	287	1,314	4.6	63	8	8	82.1	2	47
2002	10	Corey Dillon, RB	CIN	314	1,311	4.2	67	5	7	81.9	5	69
2002	11	Michael Bennett, RB	MIN	255	1,296	5.1	85	9	5	81.0	3	47
2002	12	Ahman Green, RB	GB	286	1,240	4.3	43	7	7	88.6	3	54
2002	13	Shaun Alexander, RB	SEA	295	1,175	4.0	58	10	16	73.4	2	61
2002	14	Eddie George, RB	TEN	343	1,165	3.4	35	1	12	72.8	1	61
2002	15	Curtis Martin, RB	NYJ	261	1,094	4.2	35	5	7	68.4	0	54
2002	16	Duce Staley, RB	PHI	269	1,029	3.8	57	4	5	64.3	3	56
2002	17	James Stewart, RB	DET	231	1,021	4.4	56	9	4	72.9	0	46
2002	18	Edgerrin James, RB	IND	277	989	3.6	20	3	2	70.6	2	56
2002	19	Antowain Smith, RB	NE	252	982	3.9	42	3	6	61.4	2	56
2002	20	Emmitt Smith, RB	DAL	254	975	3.8	30	5	5	60.9	2	48
2002	21	Garrison Hearst, RB	SF	215	972	4.5	40	6	8	60.8	3	53
2002	22	Charlie Garner, RB	OAK	182	962	5.3	36	8	7	60.1	0	47
2002	23	Marshall Faulk, RB	STL	212	953	4.5	44	5	8	68.1	2	51
2002	24	Warrick Dunn, RB	ATL	230	927	4.0	59	6	7	61.8	3	39
2002	25	William Green, RB	CLE	243	887	3.7	64	4	6	55.4	3	38
2002	26	Marcel Shipp, RB	ARI	188	834	4.4	56	5	6	55.6	3	43
2002	27	Stephen Davis, RB	WSH	207	820	4.0	33	3	7	68.3	4	47
2002	28	Michael Vick, QB	ATL	113	777	6.9	46	10	8	51.8	5	44
2002	29	Amos Zereoue, RB	PIT	193	762	3.9	42	4	4	47.6	1	35
2002	30	Lamar Smith, RB	CAR	209	737	3.5	59	3	7	67.0	1	32
2002	31	Anthony Thomas, RB	CHI	214	721	3.4	34	3	6	60.1	5	34
2002	32	Michael Pittman, RB	TB	204	718	3.5	21	1	1	44.9	3	36
2002	33	Kevan Barlow, RB	SF	145	675	4.7	35	4	4	48.2	1	34
2002	34	Jerome Bettis, RB	PIT	187	666	3.6	41	2	9	51.2	1	42
2002	35	Daunte Culpepper, QB	MIN	106	609	5.7	38	4	10	38.1	9	46
2002	36	Mike Alstott, FB	TB	146	548	3.8	32	5	5	34.3	2	37
2002	37	Kenny Watson, RB	WSH	116	534	4.6	24	2	1	33.4	0	32
2002	38	Jonathan Wells, RB	HOU	197	529	2.7	37	2	3	33.1	3	21
2002	39	James Allen, RB	HOU	155	519	3.3	32	1	0	32.4	1	20
2002	40	Thomas Jones, RB	ARI	138	511	3.7	58	2	2	56.8	3	21
2002	41	T.J. Duckett, RB	ATL	130	507	3.9	33	1	4	42.3	0	28
2002	42	Jamel White, RB	CLE	106	470	4.4	54	2	3	33.6	0	21
2002	43	Donovan McNabb, QB	PHI	63	460	7.3	40	6	6	46.0	1	34
2002	44	Steve McNair, QB	TEN	82	440	5.4	26	4	3	27.5	3	29
2002	45	Stacey Mack, RB	JAX	98	436	4.4	23	6	9	27.3	0	38
2002	46	Ron Dayne, RB	NYG	125	428	3.4	30	1	3	26.8	1	26
2002	47	Tyrone Wheatley, RB	OAK	108	419	3.9	36	1	2	29.9	1	26
2002	48	Moe Williams, RB	MIN	84	414	4.9	44	3	11	25.9	0	35
2002	49	Dorsey Levens, RB	PHI	75	411	5.5	47	3	1	25.7	1	13
2002	50	Mike Anderson, RB	DEN	84	386	4.6	32	1	2	25.7	2	24
