Year	RK	PLAYER	TEAM	REC	TAR	YDS	AVG	TD	LONG	20+	YDS/G	FUM	YAC	1DN
2013	1	Josh Gordon, WR	CLE	87	159	1,646	18.9	9	95	30	117.6	0	637	64
2013	2	Antonio Brown, WR	PIT	110	165	1,499	13.6	8	56	23	93.7	0	602	69
2013	3	Calvin Johnson, WR	DET	84	156	1,492	17.8	12	87	22	106.6	1	496	69
2013	4	Demaryius Thomas, WR	DEN	92	143	1,430	15.5	14	78	19	89.4	1	704	66
2013	5	A.J. Green, WR	CIN	98	180	1,426	14.6	11	82	18	89.1	1	412	65
2013	6	Alshon Jeffery, WR	CHI	89	150	1,421	16.0	7	80	20	88.8	3	432	62
2013	7	Andre Johnson, WR	HOU	109	181	1,407	12.9	5	62	20	87.9	0	412	69
2013	8	Pierre Garcon, WR	WSH	113	184	1,346	11.9	5	53	16	84.1	1	667	60
2013	9	DeSean Jackson, WR	PHI	82	126	1,332	16.2	9	61	25	83.3	1	493	60
2013	10	Jordy Nelson, WR	GB	85	126	1,314	15.5	8	76	22	82.1	0	442	60
2013	11	Brandon Marshall, WR	CHI	100	163	1,295	13.0	12	44	16	80.9	0	307	70
2013	12	Eric Decker, WR	DEN	87	137	1,288	14.8	11	61	19	80.5	2	404	63
2013	13	Dez Bryant, WR	DAL	93	160	1,233	13.3	13	79	14	77.1	3	527	67
2013	14	Vincent Jackson, WR	TB	78	159	1,224	15.7	7	60	19	76.5	1	319	60
2013	15	Jimmy Graham, TE	NO	86	144	1,215	14.1	16	56	19	75.9	0	440	61
2013	16	Anquan Boldin, WR	SF	85	130	1,179	13.9	7	63	19	73.7	0	453	62
2013	17	Torrey Smith, WR	BAL	65	139	1,128	17.4	4	74	20	70.5	1	402	48
2013	18	T.Y. Hilton, WR	IND	82	138	1,083	13.2	5	73	13	67.7	0	400	46
2013	19	Kendall Wright, WR	TEN	94	140	1,079	11.5	2	45	17	67.4	2	588	52
2013	20	Harry Douglas, WR	ATL	85	133	1,067	12.6	2	80	13	66.7	2	534	47
2013	21	Julian Edelman, WR	NE	105	151	1,056	10.1	6	44	9	66.0	0	493	54
2013	22	Keenan Allen, WR	SD	71	105	1,046	14.7	8	43	16	69.7	1	437	54
2013	23	Michael Floyd, WR	ARI	65	112	1,041	16.0	5	91	17	65.1	0	278	48
2013	24	Brian Hartline, WR	MIA	76	134	1,016	13.4	4	50	14	63.5	0	316	53
2013	25	Victor Cruz, WR	NYG	73	123	998	13.7	4	70	10	71.3	1	264	45
2013	26	Larry Fitzgerald, WR	ARI	82	136	954	11.6	10	75	11	59.6	1	351	49
2013	27	Marques Colston, WR	NO	75	110	943	12.6	5	35	13	62.9	0	249	54
2013	28	Mike Wallace, WR	MIA	73	142	930	12.7	5	57	11	58.1	0	291	46
2013	29	Nate Washington, WR	TEN	58	104	919	15.8	3	77	11	57.4	0	240	43
2013	30	Jordan Cameron, TE	CLE	80	117	917	11.5	7	53	11	61.1	1	248	47
2013	31	Golden Tate, WR	SEA	64	98	898	14.0	5	80	12	56.1	1	520	41
2013	32	Hakeem Nicks, WR	NYG	56	102	896	16.0	0	57	14	59.7	0	281	38
2013	33	Rod Streater, WR	OAK	60	100	888	14.8	4	66	10	55.5	1	329	39
2013	34	Antonio Gates, TE	SD	77	116	872	11.3	4	56	11	54.5	2	410	49
2013	35	Tony Gonzalez, TE	ATL	83	119	859	10.3	8	25	5	53.7	0	229	56
2013	36	Jason Witten, TE	DAL	73	111	851	11.7	8	34	13	53.2	0	337	44
2013	37	Vernon Davis, TE	SF	52	84	850	16.3	13	64	16	56.7	1	280	35
2013	38	Riley Cooper, WR	PHI	47	84	835	17.8	8	63	13	52.2	0	246	33
2013	39	James Jones, WR	GB	59	93	817	13.8	3	83	12	58.4	2	384	30
2013	40	Greg Olsen, TE	CAR	73	109	816	11.2	6	31	12	51.0	0	347	44
2013 	41	Greg Jennings, WR	MIN	68	106	804	11.8	4	70	11	53.6	0	357	36
2013 	42	DeAndre Hopkins, WR	HOU	52	93	802	15.4	2	66	12	50.1	1	188	38
2013 	43	Julius Thomas, TE	DEN	65	89	788	12.1	12	74	10	56.3	0	390	41
2013 	44	Wes Welker, WR	DEN	73	110	778	10.7	10	33	12	59.8	0	333	49
2013 	44 	Doug Baldwin, WR	SEA	50	73	778	15.6	5	52	14	48.6	0	249	36
2013 	46	Cecil Shorts III, WR	JAX	66	125	777	11.8	3	59	10	59.8	0	292	41
2013 	47	Martellus Bennett, TE	CHI	65	96	759	11.7	5	43	11	47.4	1	400	40
2013 	47 	Charles Clay, TE	MIA	69	103	759	11.0	6	67	10	47.4	0	380	36
2013 	49	Steve Smith Sr., WR	CAR	64	109	745	11.6	4	44	4	49.7	0	183	44
2013 	50	Emmanuel Sanders, WR	PIT	67	112	740	11.0	6	55	12	46.3	1	303	37
2013 	51	Terrance Williams, WR	DAL	44	74	736	16.7	5	82	12	46.0	1	219	31
2013 	52	Jerome Simpson, WR	MIN	48	102	726	15.1	1	51	12	45.4	1	196	35
2013 	53	Marvin Jones, WR	CIN	51	80	712	14.0	10	45	10	44.5	0	232	36
2013 	54	Roddy White, WR	ATL	63	99	711	11.3	3	39	8	54.7	2	127	37
2013 	55	Denarius Moore, WR	OAK	46	86	695	15.1	5	73	9	53.5	0	263	36
2013 	56	Jamaal Charles, RB	KC	70	104	693	9.9	7	71	8	46.2	0	669	32
2013 	57	Jarrett Boykin, WR	GB	49	82	681	13.9	3	52	10	42.6	0	259	34
2013 	58	Dwayne Bowe, WR	KC	57	105	673	11.8	5	34	9	44.9	0	202	39
2013 	59	Jared Cook, TE	STL	51	83	671	13.2	5	47	9	41.9	1	273	34
2013 	60	Scott Chandler, TE	BUF	53	81	655	12.4	2	33	10	40.9	1	284	26
2013 	61	Kenny Stills, WR	NO	32	51	641	20.0	5	76	7	40.1	0	198	24
2013 	62	Danny Amendola, WR	NE	54	83	633	11.7	2	57	8	52.8	0	269	37
2013 	63	Eddie Royal, WR	SD	47	67	631	13.4	8	54	12	42.1	0	363	33
2013 	64	Brandon LaFell, WR	CAR	49	88	627	12.8	5	79	5	39.2	1	276	31
