Year	RK	PLAYER	TEAM	ATT	YDS	YDS/A	LONG	20+	TD	YDS/G	FUM	1DN
2013	1	LeSean McCoy, RB	PHI	314	1,607	5.1	57	9	9	100.4	1	79
2013	2	Matt Forte, RB	CHI	289	1,339	4.6	55	9	9	83.7	2	74
2013	3	Jamaal Charles, RB	KC	259	1,287	5.0	46	6	12	85.8	4	72
2013	4	Alfred Morris, RB	WSH	276	1,275	4.6	45	10	7	79.7	5	57
2013	5	Adrian Peterson, RB	MIN	279	1,266	4.5	78	8	10	90.4	3	59
2013	6	Marshawn Lynch, RB	SEA	301	1,257	4.2	43	6	12	78.6	3	68
2013	7	Ryan Mathews, RB	SD	285	1,255	4.4	51	7	6	78.4	2	54
2013	8	Eddie Lacy, RB	GB	284	1,178	4.1	60	3	11	78.5	1	61
2013	9	Frank Gore, RB	SF	276	1,128	4.1	51	9	9	70.5	3	55
2013	10	DeMarco Murray, RB	DAL	217	1,121	5.2	43	8	9	80.1	2	59
2013	11	Chris Johnson, RB	TEN	279	1,077	3.9	30	5	6	67.3	2	54
2013	12	Knowshon Moreno, RB	DEN	241	1,038	4.3	31	5	10	64.9	1	53
2013	13	Reggie Bush, RB	DET	223	1,006	4.5	39	6	4	71.9	5	46
2013	14	Zac Stacy, RB	STL	250	973	3.9	40	5	7	69.5	1	47
2013	15	C.J. Spiller, RB	BUF	202	933	4.6	77	9	2	62.2	4	26
2013	16	Fred Jackson, RB	BUF	206	890	4.3	59	1	9	55.6	2	54
2013	17	Le'Veon Bell, RB	PIT	244	860	3.5	43	4	8	66.2	1	48
2013	18	DeAngelo Williams, RB	CAR	201	843	4.2	43	6	3	56.2	1	35
2013	19	Chris Ivory, RB	NYJ	182	833	4.6	69	8	3	55.5	2	34
2013	20	Maurice Jones-Drew, RB	JAX	234	803	3.4	48	5	5	53.5	1	43
2013	21	Stevan Ridley, RB	NE	178	773	4.3	29	3	7	55.2	3	39
2013	22	LeGarrette Blount, RB	NE	153	772	5.0	47	5	7	48.3	3	35
2013	23	Ben Tate, RB	HOU	181	771	4.3	60	3	4	55.1	4	33
2013	24	BenJarvus Green-Ellis, RB	CIN	220	756	3.4	25	1	7	47.3	2	48
2013	25	Rashad Jennings, RB	OAK	163	733	4.5	80	4	6	48.9	0	34
2013	26	Lamar Miller, RB	MIA	177	709	4.0	49	4	2	44.3	1	26
2013	27	Bilal Powell, RB	NYJ	176	697	4.0	39	3	1	43.6	1	35
2013	28	Giovani Bernard, RB	CIN	170	695	4.1	35	3	5	43.4	1	32
2013	29	Rashard Mendenhall, RB	ARI	217	687	3.2	28	1	8	45.8	4	43
2013	30	Ray Rice, RB	BAL	214	660	3.1	47	1	4	44.0	2	28
2013	31	Andre Ellington, RB	ARI	118	652	5.5	80	8	3	43.5	1	27
2013	32	Joique Bell, RB	DET	166	650	3.9	20	1	8	40.6	4	43
2013	33	Cam Newton, QB	CAR	111	585	5.3	56	2	6	36.6	1	45
2013	34	Terrelle Pryor, QB	OAK	83	576	6.9	93	8	2	52.4	2	27
2013	35	Montee Ball, RB	DEN	120	559	4.7	45	3	4	34.9	2	35
2013	36	Pierre Thomas, RB	NO	147	549	3.7	18	0	2	34.3	0	31
2013	37	Steven Jackson, RB	ATL	157	543	3.5	50	3	6	45.3	0	26
2013	38	Arian Foster, RB	HOU	121	542	4.5	23	2	1	67.8	0	31
2013	39	Russell Wilson, QB	SEA	96	539	5.6	27	4	1	33.7	2	31
2013	40	Donald Brown, RB	IND	102	537	5.3	51	4	6	33.6	0	20
2013 	41	Bobby Rainey, RB	CLE/TB	137	532	3.9	80	3	5	59.1	1	23
2013 	42	Colin Kaepernick, QB	SF	92	524	5.7	28	4	4	32.8	3	28
2013 	43	James Starks, RB	GB	89	493	5.5	41	6	3	37.9	1	27
2013 	44	Andre Brown, RB	NYG	139	492	3.5	23	1	3	61.5	3	31
2013 	45	Robert Griffin, QB	WSH	86	489	5.7	26	4	0	37.6	5	24
2013 	46	Trent Richardson, RB	CLE/IND	157	458	2.9	22	1	3	32.7	2	25
2013 	47	Doug Martin, RB	TB	127	456	3.6	28	2	1	76.0	1	16
2013 	48	Bernard Pierce, RB	BAL	152	436	2.9	28	2	2	27.3	0	20
2013 	49	Alex Smith, QB	KC	76	431	5.7	26	5	1	28.7	3	23
2013 	50	Danny Woodhead, RB	SD	106	429	4.0	14	0	2	26.8	1	26
2013 	51	Daniel Thomas, RB	MIA	109	406	3.7	55	1	4	27.1	0	17
2013 	52	Mark Ingram, RB	NO	78	386	4.9	34	3	1	35.1	0	18
2013 	53	Darren McFadden, RB	OAK	114	379	3.3	30	4	5	37.9	1	16
2013 	54	Willis McGahee, RB	CLE	138	377	2.7	16	0	2	31.4	1	28
2013 	55	Andrew Luck, QB	IND	63	377	6.0	29	3	4	23.6	1	23
2013 	56	Geno Smith, QB	NYJ	72	366	5.1	32	1	6	22.9	3	23
2013 	57	Mike Tolbert, FB	CAR	101	361	3.6	22	2	5	22.6	0	31
2013 	58	Kendall Hunter, RB	SF	78	358	4.6	45	5	3	22.4	1	18
2013 	59	Jacquizz Rodgers, RB	ATL	96	332	3.5	19	0	2	22.1	0	19
2013 	60	Bryce Brown, RB	PHI	75	314	4.2	65	2	2	19.6	0	16
2013 	61	Michael Vick, QB	PHI	36	306	8.5	61	4	2	43.7	1	17
2013 	62	Shonn Greene, RB	TEN	77	295	3.8	29	2	4	26.8	0	18
2013 	62	Mike James, RB	TB	60	295	4.9	24	2	0	36.9	0	14
2013 	64	Toby Gerhart, RB	MIN	36	283	7.9	41	4	2	20.2	1	13
2013 	65	Roy Helu, RB	WSH	62	274	4.4	24	2	4	17.1	1	18
2013 	66	Brandon Bolden, RB	NE	55	271	4.9	46	2	3	22.6	0	14
2013 	67	Robert Turbin, RB	SEA	77	264	3.4	15	0	0	16.5	0	9
2013 	68	Benjamin Cunningham, RB	STL	47	261	5.6	56	2	1	18.6	2	11
2013 	69	Jordan Todman, RB	JAX	76	256	3.4	33	1	2	16.0	0	16
2013 	70	Peyton Hillis, RB	NYG	73	247	3.4	27	1	2	35.3	1	12
2013 	71	Knile Davis, RB	KC	70	242	3.5	20	1	4	15.1	1	10
2013 	72	Chris Ogbonnaya, RB	CLE	49	240	4.9	43	2	0	15.0	1	14
2013 	73	Ryan Tannehill, QB	MIA	40	238	6.0	48	3	1	14.9	3	12
2013 	73	Brandon Jacobs, RB	NYG	58	238	4.1	37	1	4	34.0	1	16
2013 	75	Ryan Fitzpatrick, QB	TEN	43	225	5.2	26	1	3	20.5	1	15
