2016	59	Jordan Reed, TE	WSH	66	87	686	10.4	6	33	9	57.2	1	247	41
2016	60	Sterling Shepard, WR	NYG	65	105	683	10.5	8	32	6	42.7	0	258	42
2016	61	Chris Hogan, WR	NE	38	57	680	17.9	4	79	11	45.3	1	231	23
2016	62	Travis Benjamin, WR	LAC	47	76	677	14.4	4	54	10	48.4	3	257	26
2016	63	Jason Witten, TE	DAL	69	95	673	9.8	3	35	7	42.1	1	246	33
2016	64	Jeremy Kerley, WR	SF	64	115	667	10.4	3	33	8	41.7	1	195	33
2016	65	Cameron Brate, TE	TB	57	81	660	11.6	8	38	5	44.0	1	157	40
2016	66	Mohamed Sanu, WR	ATL	59	81	653	11.1	4	59	6	43.5	1	281	33
2016	67	Will Fuller V, WR	HOU	47	92	635	13.5	2	53	11	45.4	0	213	31
2016	68	Coby Fleener, TE	NO	50	82	631	12.6	3	50	12	39.4	2	209	28
2016	69	Adam Humphries, WR	TB	55	82	622	11.3	2	42	7	41.5	0	324	27
2016	70	Le'Veon Bell, RB	PIT	75	94	616	8.2	2	32	4	51.3	1	685	31
2016	71	Robert Woods, WR	BUF	51	74	613	12.0	1	34	10	47.2	0	153	32
2016	72	Gary Barnidge, TE	CLE	55	81	612	11.1	2	43	7	38.3	0	192	34
2016	73	Randall Cobb, WR	GB	60	84	610	10.2	4	47	7	46.9	0	366	36
2016	74	Tyler Boyd, WR	CIN	54	81	603	11.2	1	30	9	37.7	1	207	33
2016	75	Tyler Lockett, WR	SEA	41	67	597	14.6	1	57	9	39.8	0	226	22
2016	76	Terrance Williams, WR	DAL	44	61	594	13.5	4	47	6	37.1	1	157	34
2016	77 	Eli Rogers, WR	PIT	48	66	594	12.4	3	39	11	45.7	0	201	24
2016	78	Tyreek Hill, WR	KC	61	83	593	9.7	6	49	8	37.1	1	269	31
2016	79	Robby Anderson, WR	NYJ	42	78	587	14.0	2	52	10	36.7	1	118	18
2016	80	Victor Cruz, WR	NYG	39	72	586	15.0	1	48	10	39.1	1	193	25
2016	81	Anquan Boldin, WR	DET	67	95	584	8.7	8	35	5	36.5	0	215	41
2016	82 	Jack Doyle, TE	IND	59	75	584	9.9	5	24	5	36.5	1	255	32
2016	83	Vernon Davis, TE	WSH	44	59	583	13.3	2	44	11	36.4	0	231	22
2016	84	Taylor Gabriel, WR	ATL	35	49	579	16.5	6	76	8	44.5	0	285	21
2016	85	J.J. Nelson, WR	ARI	34	74	568	16.7	6	80	9	37.9	1	152	26
2016	86	Brian Quick, WR	LAR	41	79	564	13.8	3	65	7	35.3	0	180	22
2016	87	C.J. Fiedorowicz, TE	HOU	54	89	559	10.4	4	26	5	37.3	1	211	30
2016	88	Charles Clay, TE	BUF	57	87	552	9.7	4	40	4	36.8	0	179	22
2016	89	James White, RB	NE	60	86	551	9.2	5	61	5	34.4	0	515	26
2016	90	Antonio Gates, TE	LAC	53	92	548	10.3	7	27	5	39.1	1	162	34
2016	91	Rob Gronkowski, TE	NE	25	38	540	21.6	3	53	12	67.5	0	233	19
2016	92	Jeremy Maclin, WR	KC	44	76	536	12.2	2	44	6	44.7	0	129	29
2016	93	Chris Conley, WR	KC	44	69	530	12.0	0	39	4	33.1	1	151	30
2016	94	Phillip Dorsett, WR	IND	33	60	528	16.0	2	64	8	35.2	1	138	20
2016	95	Tajae Sharpe, WR	TEN	41	83	522	12.7	2	34	7	32.6	0	91	27
2016	96	John Brown, WR	ARI	39	72	517	13.3	2	30	5	34.5	0	110	28
2016	97	Duke Johnson Jr., RB	CLE	53	72	514	9.7	0	32	8	32.1	1	431	24
2016	98	Jermaine Kearse, WR	SEA	41	90	511	12.5	1	36	7	31.9	0	140	24
2016	99	Tavon Austin, WR	LAR	58	107	509	8.8	3	43	6	33.9	1	250	25
2016	100	Lance Kendricks, TE	LAR	50	88	499	10.0	2	44	7	31.2	1	260	22
2016	101	Breshad Perriman, WR	BAL	33	66	499	15.1	3	53	8	31.2	0	137	19
2016	102	Zach Miller, TE	CHI	47	65	486	10.3	4	34	5	48.6	0	231	28
2016	103	Hunter Henry, TE	LAC	36	54	478	13.3	8	59	7	31.9	1	200	30
2016	104	Allen Hurns, WR	JAX	35	76	477	13.6	3	42	9	43.4	1	212	23
2016	105	Devonta Freeman, RB	ATL	54	65	462	8.6	2	35	3	28.9	0	348	22
2016	106	Cordarrelle Patterson, WR	MIN	52	70	453	8.7	2	39	4	28.3	0	319	23
2016	107	Spencer Ware, RB	KC	33	42	447	13.5	2	46	8	31.9	1	395	17
2016	108	Michael Floyd, WR	NE/ARI	33	71	446	13.5	4	39	4	34.3	0	59	28
2016	109	Ryan Griffin, TE	HOU	50	75	442	8.8	2	45	4	27.6	1	162	19
2016	110	Sammie Coates, WR	PIT	21	49	435	20.7	2	72	7	31.1	0	126	16
2016	111	Marquise Goodwin, WR	BUF	29	68	431	14.9	3	84	3	28.7	0	79	20
2016	112	Sammy Watkins, WR	BUF	28	52	430	15.4	2	62	4	53.8	0	42	20
2016	113	Darren Sproles, RB	PHI	52	71	427	8.2	2	73	2	28.5	0	412	19
2016	114	Tevin Coleman, RB	ATL	31	40	421	13.6	3	49	8	32.4	0	371	16
2016	115	Melvin Gordon, RB	LAC	41	57	419	10.2	2	35	4	32.2	0	428	21
2016	116	Kendall Wright, WR	TEN	29	43	416	14.3	3	48	6	37.8	0	125	18
2016	117	Corey Coleman, WR	CLE	33	74	413	12.5	3	58	4	41.3	0	96	17
2016	118	Quinton Patton, WR	SF	37	63	408	11.0	0	45	4	29.1	1	203	22
2016	119	Dwayne Allen, TE	IND	35	52	406	11.6	6	23	4	29.0	1	120	25
2016	120	Malcolm Mitchell, WR	NE	32	48	401	12.5	4	56	6	28.6	0	165	23
