Year	RK	PLAYER	TEAM	REC	TAR	YDS	AVG	TD	LONG	20+	YDS/G	FUM	YAC	1DN
2009 	1	Andre Johnson, WR	HOU	101	170	1,569	15.5	9	72	22	98.1	1	532	69
2009 	2	Wes Welker, WR	NE	123	162	1,348	11.0	4	58	8	96.3	1	709	71
2009 	3	Miles Austin, WR	DAL	81	125	1,320	16.3	11	60	21	82.5	1	588	59
2009 	4	Sidney Rice, WR	MIN	83	122	1,312	15.8	8	63	19	82.0	1	358	59
2009 	5	Randy Moss, WR	NE	83	138	1,264	15.2	13	71	18	79.0	2	340	62
2009 	5 	Reggie Wayne, WR	IND	100	149	1,264	12.6	10	65	20	79.0	0	426	73
2009 	7	Santonio Holmes, WR	PIT	79	138	1,248	15.8	5	57	21	78.0	0	491	63
2009 	8	Steve Smith, WR	NYG	107	159	1,220	11.4	7	51	14	76.3	0	237	61
2009 	9	Hines Ward, WR	PIT	95	136	1,167	12.3	6	54	15	72.9	2	415	56
2009 	9 	Vincent Jackson, WR	SD	68	107	1,167	17.2	9	55	17	77.8	0	222	58
2009 	11	Antonio Gates, TE	SD	79	114	1,157	14.6	8	56	18	72.3	1	513	61
2009 	12	DeSean Jackson, WR	PHI	62	117	1,156	18.6	9	71	18	77.1	2	406	40
2009 	13	Roddy White, WR	ATL	85	165	1,153	13.6	11	90	13	72.1	1	371	54
2009 	14	Brandon Marshall, WR	DEN	101	154	1,120	11.1	10	75	11	74.7	0	503	56
2009 	15	Greg Jennings, WR	GB	68	118	1,113	16.4	4	83	16	69.6	0	465	48
2009 	16	Dallas Clark, TE	IND	100	132	1,106	11.1	10	80	11	69.1	1	491	59
2009 	17	Larry Fitzgerald, WR	ARI	97	153	1,092	11.3	13	34	12	68.3	0	285	69
2009 	18	Marques Colston, WR	NO	70	106	1,074	15.3	9	68	18	67.1	2	354	54
2009 	19	Donald Driver, WR	GB	70	112	1,061	15.2	6	71	15	66.3	2	372	49
2009 	20	Chad Johnson, WR	CIN	72	128	1,047	14.5	9	50	15	65.4	2	232	55 
2009 	21	Jason Witten, TE	DAL	94	125	1,030	11.0	2	69	11	64.4	0	407	48
2009 	22	Derrick Mason, WR	BAL	73	132	1,028	14.1	7	72	9	64.3	0	260	55
2009 	23	Anquan Boldin, WR	ARI	84	126	1,024	12.2	4	44	10	68.3	3	355	49
2009 	24	Calvin Johnson, WR	DET	67	136	984	14.7	5	75	15	70.3	3	334	46
2009 	25	Steve Smith, WR	CAR	65	130	982	15.1	7	66	15	65.5	1	315	41
2009 	26	Brent Celek, TE	PHI	76	112	971	12.8	8	47	16	60.7	0	421	42
2009 	27	Vernon Davis, TE	SF	78	129	965	12.4	13	73	13	60.3	0	327	40
2009 	28	T.J. Houshmandzadeh, WR	SEA	79	135	911	11.5	3	53	11	56.9	2	271	52
2009 	29	Santana Moss, WR	WSH	70	121	902	12.9	3	59	14	56.4	2	382	40
2009 	30	Kellen Winslow, TE	TB	77	127	884	11.5	5	42	10	55.3	0	243	47 
2009 	31	Mike Sims-Walker, WR	JAC	63	110	869	13.8	7	61	12	57.9	2	244	43
2009 	32	Tony Gonzalez, TE	ATL	83	135	867	10.4	6	27	4	54.2	0	211	54
2009 	33	Terrell Owens, WR	BUF	55	109	829	15.1	5	98	9	51.8	1	245	33
2009 	34	Mario Manningham, WR	NYG	57	99	822	14.4	5	49	15	58.7	1	256	41
2009 	35	Jerricho Cotchery, WR	NYJ	57	96	821	14.4	3	53	13	58.6	0	289	44
2009 	36	Nate Burleson, WR	SEA	63	103	812	12.9	3	44	10	62.5	2	274	42
2009 	37	Zach Miller, TE	OAK	66	100	805	12.2	3	86	9	53.7	0	363	31
2009 	38	Devery Henderson, WR	NO	51	83	804	15.8	2	75	11	50.3	0	283	33
2009 	39	Percy Harvin, WR	MIN	60	91	790	13.2	6	51	12	52.7	1	358	42
2009 	39 	Hakeem Nicks, WR	NYG	47	75	790	16.8	6	68	13	56.4	2	411	32
2009 	41	Heath Miller, TE	PIT	76	98	789	10.4	6	41	8	49.3	2	420	37
2009 	42	Malcom Floyd, WR	SD	45	76	776	17.2	1	53	13	48.5	0	127	36
2009 	43	Jeremy Maclin, WR	PHI	56	91	773	13.8	4	56	11	51.5	0	244	34
2009 	44	Pierre Garcon, WR	IND	47	91	765	16.3	4	66	13	54.6	1	285	33
2009 	45	Davone Bess, WR	MIA	76	113	758	10.0	2	34	6	47.4	2	309	48
2009 	46	Devin Hester, KR	CHI	57	91	757	13.3	3	48	12	58.2	1	286	34
2009 	47	Mike Wallace, WR	PIT	39	72	756	19.4	6	60	14	47.3	1	134	28
2009 	48	Jabar Gaffney, WR	DEN	54	88	732	13.6	2	49	12	45.8	0	261	36
2009 	49	Chris Chambers, WR	KC/SD	45	92	730	16.2	5	61	11	45.6	0	187	32
2009 	50	Torry Holt, WR	JAC	51	103	722	14.2	0	63	6	48.1	1	112	35 
2009 	50 	Robert Meachem, WR	NO	45	64	722	16.0	9	54	12	45.1	2	175	30
2009 	52	Earl Bennett, WR	CHI	54	88	717	13.3	2	71	15	44.8	1	319	32
2009 	53	Steve Breaston, WR	ARI	55	82	712	12.9	3	45	12	47.5	0	163	33
2009 	54	Ray Rice, RB	BAL	78	103	702	9.0	1	63	7	43.9	1	752	28
2009 	55	Kenny Britt, WR	TEN	42	75	701	16.7	3	57	10	43.8	1	176	34
2009 	56	Braylon Edwards, WR	CLE/NYJ	45	95	680	15.1	4	65	11	42.5	1	188	37
2009 	57	Austin Collie, WR	IND	60	90	676	11.3	7	39	11	42.3	0	248	37
2009 	57 	Jermichael Finley, TE	GB	55	71	676	12.3	5	62	9	52.0	1	296	29
2009 	59	Michael Jenkins, WR	ATL	50	90	635	12.7	1	50	12	42.3	0	118	29
2009 	60	Michael Crabtree, WR	SF	48	86	625	13.0	2	50	10	56.8	1	196	27 
2009 	61	Mohamed Massaquoi, WR	CLE	34	94	624	18.4	3	59	11	39.0	1	161	24
2009 	62	Patrick Crayton, WR	DAL	37	67	622	16.8	5	80	8	38.9	0	267	27
2009 	63	Bernard Berrian, WR	MIN	55	92	618	11.2	4	40	5	38.6	0	200	35
2009 	64	Lee Evans, WR	BUF	44	95	612	13.9	7	50	10	38.3	0	94	27
2009 	64 	Greg Olsen, TE	CHI	60	108	612	10.2	8	41	9	38.3	0	178	33
2009 	66	Kevin Walter, WR	HOU	53	70	611	11.5	2	41	7	43.6	0	117	33
2009 	67	Antonio Bryant, WR	TB	39	86	600	15.4	4	42	14	46.2	0	137	25
2009 	68	Roy Williams, WR	DAL	38	88	596	15.7	7	66	9	39.7	1	208	29
2009 	69	Todd Heap, TE	BAL	53	75	593	11.2	6	31	10	37.1	0	180	33
2009 	70	Dwayne Bowe, WR	KC	47	87	589	12.5	4	41	8	53.5	1	166	31 
2009 	70 	Donnie Avery, WR	STL	47	97	589	12.5	5	50	9	36.8	1	261	28
2009 	72	Jason Avant, WR	PHI	41	60	587	14.3	3	58	11	36.7	1	200	26
2009 	73	Muhsin Muhammad, WR	CAR	53	89	581	11.0	1	27	7	41.5	0	131	32
2009 	74	John Carlson, TE	SEA	51	83	574	11.3	7	42	5	35.9	0	253	27
2009 	75	Jeremy Shockey, TE	NO	48	68	569	11.9	3	66	6	43.8	0	148	29
2009 	75 	Nate Washington, WR	TEN	47	95	569	12.1	6	35	6	35.6	1	91	34
2009 	77	Kevin Boss, TE	NYG	42	69	567	13.5	5	35	12	37.8	0	232	26
2009 	78	Visanthe Shiancoe, TE	MIN	56	78	566	10.1	11	27	4	35.4	0	198	38
2009 	79	Greg Camarillo, WR	MIA	50	71	552	11.0	0	29	5	34.5	0	112	29
2009 	80	Antwaan Randle El, WR	WSH	50	75	530	10.6	0	44	4	33.1	1	199	33
2009 	81	Johnny Knox, WR	CHI	45	80	527	11.7	5	68	7	35.1	0	140	22
2009 	81 	Josh Morgan, WR	SF	52	81	527	10.1	3	61	6	32.9	0	240	20
2009 	83	Dustin Keller, TE	NYJ	45	82	522	11.6	2	40	7	32.6	1	184	27
2009 	84	Louis Murphy, WR	OAK	34	96	521	15.3	4	75	6	32.6	0	133	26
2009 	85	Owen Daniels, TE	HOU	40	57	519	13.0	5	44	8	64.9	1	227	28
2009 	86	Marcedes Lewis, TE	JAC	32	58	518	16.2	2	47	11	34.5	1	158	20
2009 	87	Laveranues Coles, WR	CIN	43	77	514	12.0	5	40	8	32.1	0	188	29
2009 	88	Fred Davis, TE	WSH	48	76	509	10.6	6	29	4	31.8	0	275	31
2009 	89	Brian Hartline, WR	MIA	31	56	506	16.3	3	67	7	31.6	0	171	26
2009 	90	Chris Johnson, RB	TEN	50	71	503	10.1	2	69	3	31.4	0	563	18 
2009 	91	Darren Sproles, RB	SD	45	57	497	11.0	4	81	7	31.1	0	551	20
2009 	92	Mark Clayton, WR	BAL	34	74	480	14.1	2	54	8	34.3	1	80	24
2009 	93	Matt Forte, RB	CHI	57	71	471	8.3	0	37	6	29.4	1	500	17
2009 	94	Ted Ginn, WR	MIA	38	78	454	11.9	1	53	3	28.4	0	44	25
2009 	95	Mike Thomas, WR	JAC	48	63	453	9.4	1	28	7	32.4	0	211	28
2009 	96	Bo Scaife, TE	TEN	45	70	440	9.8	1	27	3	31.4	1	196	24
2009 	96 	James Jones, WR	GB	32	63	440	13.8	5	74	6	27.5	0	186	16
2009 	98	Deion Branch, WR	SEA	45	79	437	9.7	2	35	4	31.2	0	190	17
2009 	 	Jacoby Jones, WR	HOU	27	40	437	16.2	6	45	7	31.2	0	138	19
2009 	100	Adrian Peterson, RB	MIN	43	57	436	10.1	0	63	5	27.3	1	441	16 
2009 	101	Andre Caldwell, WR	CIN	51	80	432	8.5	3	24	2	27.0	1	108	29
2009 	102	Kelley Washington, WR	BAL	34	49	431	12.7	2	28	6	28.7	0	113	27
2009 	103	Tim Hightower, RB	ARI	63	80	428	6.8	0	23	2	26.8	0	445	22
2009 	104	Bryant Johnson, WR	DET	35	87	417	11.9	3	36	6	26.1	0	115	23
2009 	 	Steve Slaton, RB	HOU	44	55	417	9.5	4	38	5	37.9	2	451	20
2009 	106	Tony Scheffler, TE	DEN	31	50	416	13.4	2	52	5	27.7	0	182	19
2009 	107	Kevin Smith, RB	DET	41	58	415	10.1	1	63	3	31.9	0	391	16
2009 	108	Frank Gore, RB	SF	52	75	406	7.8	3	48	3	29.0	0	414	13
2009 	109	Benjamin Watson, TE	NE	29	41	404	13.9	5	36	5	25.3	0	83	20
2009 	110	Chester Taylor, RB	MIN	44	59	389	8.8	1	33	5	24.3	0	386	17 
2009 	111	Justin Gage, WR	TEN	28	67	383	13.7	3	49	5	31.9	0	55	22
2009 	112	Maurice Jones-Drew, RB	JAC	53	71	374	7.1	1	19	0	23.4	0	381	16
2009 	113	Fred Jackson, RB	BUF	46	60	371	8.1	2	21	1	23.2	1	420	20
2009 	114	David Anderson, WR	HOU	38	54	370	9.7	0	27	2	23.1	0	141	22
2009 	115	Bobby Wade, WR	KC	36	74	367	10.2	2	25	5	30.6	0	105	17
2009 	116	Maurice Stovall, TE	TB	24	46	366	15.3	1	38	7	24.4	0	105	16
2009 	117	Chaz Schilens, WR	OAK	29	52	365	12.6	2	25	5	45.6	0	49	17
2009 	118	Julian Edelman, WR	NE	37	54	359	9.7	1	29	3	32.6	0	263	19
2009 	119	Dennis Northcutt, WR	DET	35	63	357	10.2	1	47	5	22.3	0	116	18
2009 	120	David Thomas, TE	NO	35	49	356	10.2	1	37	3	23.7	0	200	18
2009 	121	Justin Forsett, RB	SEA	41	57	350	8.5	1	47	2	21.9	1	409	12
2009 	122	Brandon Gibson, WR	STL	34	69	348	10.2	1	23	5	38.7	2	89	23
2009 	123	Malcolm Kelly, WR	WSH	25	41	347	13.9	0	84	4	21.7	0	186	15
2009 	124	Brandon Pettigrew, TE	DET	30	54	346	11.5	2	30	3	31.5	1	188	20
2009 	125	Eddie Royal, WR	DEN	37	79	345	9.3	0	20	1	24.6	0	121	23
2009 	126	Anthony Fasano, TE	MIA	31	54	339	10.9	2	27	3	24.2	2	127	21
2009 	127	Joseph Addai, RB	IND	51	63	336	6.6	3	25	1	22.4	0	308	17
2009 	128	Reggie Bush, RB	NO	47	68	335	7.1	3	29	3	23.9	0	296	16
