Year	RK	PLAYER	TEAM	REC	TAR	YDS	AVG	TD	LONG	20+	YDS/G	FUM	YAC	1DN
2002 	1	Marvin Harrison, WR	IND	143	0	1,722	12.0	11	69	22	107.6	0	0	92
2002 	2	Randy Moss, WR	MIN	106	0	1,347	12.7	7	60	19	84.2	1	0	66
2002 	3	Amani Toomer, WR	NYG	82	0	1,343	16.4	8	82	24	83.9	0	0	59
2002 	4	Hines Ward, WR	PIT	112	0	1,329	11.9	12	72	19	83.1	1	0	66
2002 	5	Plaxico Burress, WR	PIT	78	0	1,325	17.0	7	62	21	82.8	2	0	64
2002 	6	Joe Horn, WR	NO	88	0	1,312	14.9	7	63	19	82.0	1	0	65
2002 	7	Torry Holt, WR	STL	91	0	1,302	14.3	4	58	17	81.4	1	0	69
2002 	8	Terrell Owens, WR	SF	100	0	1,300	13.0	13	76	17	92.9	0	0	61
2002 	9	Eric Moulds, WR	BUF	100	0	1,292	12.9	10	70	14	80.8	1	0	64
2002 	10	Laveranues Coles, WR	NYJ	89	0	1,264	14.2	5	43	19	79.0	1	0	67 
2002 	11	Peerless Price, WR	BUF	94	0	1,252	13.3	9	73	16	78.3	2	0	57
2002 	12	Koren Robinson, WR	SEA	78	0	1,240	15.9	5	83	19	77.5	2	0	58
2002 	13	Jerry Rice, WR	OAK	92	0	1,211	13.2	7	75	12	75.7	1	0	59
2002 	14	Marty Booker, WR	CHI	97	0	1,189	12.3	6	54	20	74.3	0	0	54
2002 	15	Chad Johnson, WR	CIN	69	0	1,166	16.9	5	72	13	72.9	0	0	58
2002 	16	Keyshawn Johnson, WR	TB	76	0	1,088	14.3	5	76	14	68.0	0	0	53
2002 	17	Isaac Bruce, WR	STL	79	0	1,075	13.6	7	34	20	67.2	2	0	50
2002 	18	Donald Driver, WR	GB	70	0	1,064	15.2	9	85	15	66.5	1	0	47
2002 	19	Jimmy Smith, WR	JAC	80	0	1,027	12.8	7	47	15	64.2	0	0	53
2002 	19 	Rod Smith, WR	DEN	89	0	1,027	11.5	5	46	11	64.2	1	0	53
2002 	21	Derrick Mason, WR	TEN	79	0	1,012	12.8	5	40	12	72.3	1	0	56
2002 	22	Rod Gardner, WR	WSH	71	0	1,006	14.2	8	43	13	62.9	1	0	51
2002 	23	Quincy Morgan, WR	CLE	56	0	964	17.2	7	78	17	60.3	2	0	34
2002 	24	Charlie Garner, RB	OAK	91	0	941	10.3	4	69	8	58.8	0	0	44
2002 	25	Tim Brown, WR	OAK	81	0	930	11.5	2	45	11	58.1	0	0	48
2002 	26	Joey Galloway, WR	DAL	61	0	908	14.9	6	80	12	56.8	1	0	33
2002 	27	Eddie Kennison, WR	KC	53	0	906	17.1	2	64	16	56.6	0	0	44
2002 	28	Ed McCaffrey, WR	DEN	69	0	903	13.1	2	69	11	56.4	0	0	44
2002 	29	Jeremy Shockey, TE	NYG	74	0	894	12.1	2	30	16	59.6	3	0	49
2002 	30	Troy Brown, WR	NE	97	0	890	9.2	3	38	3	63.6	2	0	48 
2002 	31	Darrell Jackson, WR	SEA	62	0	877	14.1	4	48	13	67.5	2	0	37
2002 	32	Steve Smith, WR	CAR	54	0	872	16.1	3	69	18	58.1	1	0	33
2002 	33	Travis Taylor, WR	BAL	61	0	869	14.2	6	64	12	54.3	0	0	40
2002 	34	Curtis Conway, WR	SD	57	0	852	14.9	5	52	11	65.5	2	0	42
2002 	35	Brian Finneran, WR	ATL	56	0	838	15.0	6	47	14	52.4	1	0	41
2002 	36	Todd Heap, TE	BAL	68	0	836	12.3	6	43	13	52.3	0	0	44
2002 	37	David Patten, WR	NE	61	0	824	13.5	5	39	12	51.5	0	0	39
2002 	38	Muhsin Muhammad, WR	CAR	63	0	823	13.1	3	42	17	58.8	0	0	40
2002 	39	Terry Glenn, WR	GB	56	0	817	14.6	2	49	12	54.5	1	0	43
2002 	40	Todd Pinkston, WR	PHI	60	0	798	13.3	7	42	16	53.2	1	0	40
2002 	41	Tony Gonzalez, TE	KC	63	0	773	12.3	7	42	10	48.3	0	0	39
2002 	41 	Derrius Thompson, WR	WSH	53	0	773	14.6	4	47	10	48.3	2	0	35
2002 	43	Tai Streets, WR	SF	72	0	756	10.5	5	47	7	47.3	1	0	46
2002 	44	Chris Chambers, WR	MIA	52	0	734	14.1	3	59	9	48.9	1	0	38
2002 	45	Antonio Bryant, WR	DAL	44	0	733	16.7	6	78	13	45.8	2	0	32
2002 	46	Reggie Wayne, WR	IND	49	0	716	14.6	4	49	11	44.8	2	0	35
2002 	47	Kevin Johnson, WR	CLE	67	0	703	10.5	4	30	10	43.9	0	0	38
2002 	48	Corey Bradford, WR	HOU	45	0	697	15.5	6	81	10	43.6	0	0	24
2002 	49	Wayne Chrebet, WR	NYJ	51	0	691	13.5	9	37	9	46.1	2	0	38
2002 	50	D'Wayne Bates, WR	MIN	50	0	689	13.8	4	59	9	49.2	1	0	34 
2002 	51	Jerry Porter, WR	OAK	51	0	688	13.5	9	36	12	43.0	0	0	36
2002 	52	Shannon Sharpe, TE	DEN	61	0	686	11.2	3	82	5	52.8	0	0	32
2002 	53	Priest Holmes, RB	KC	70	0	672	9.6	3	64	6	48.0	0	0	30
2002 	54	Keenan McCardell, WR	TB	61	0	670	11.0	6	65	6	47.9	1	0	30
