1	Drew Brees, QB	NO	468	657	71.2	5,476	8.34	79	46	14	24	110.6	342
2	Tom Brady, QB	NE	401	611	65.6	5,235	8.57	99	39	12	32	105.6	327
3	Matthew Stafford, QB	DET	421	663	63.5	5,038	7.60	73	41	16	36	97.2	315
4	Eli Manning, QB	NYG	359	589	61.0	4,933	8.38	99	29	16	28	92.9	308
5	Aaron Rodgers, QB	GB	343	502	68.3	4,643	9.25	93	45	6	36	122.5	310
6	Philip Rivers, QB	SD	366	582	62.9	4,624	7.95	58	27	20	30	88.7	289
7	Tony Romo, QB	DAL	346	522	66.3	4,184	8.02	77	31	10	36	102.5	262
8	Matt Ryan, QB	ATL	347	566	61.3	4,177	7.38	80	29	12	26	92.2	261
9	Ben Roethlisberger, QB	PIT	324	513	63.2	4,077	7.95	95	21	14	40	90.1	272
10	Cam Newton, QB	CAR	310	517	60.0	4,051	7.84	91	21	17	35	84.5	253 
11	Ryan Fitzpatrick, QB	BUF	353	569	62.0	3,832	6.74	60	24	23	22	79.1	240
12	Joe Flacco, QB	BAL	312	542	57.6	3,610	6.66	74	20	12	31	80.9	226
13	Josh Freeman, QB	TB	346	551	62.8	3,592	6.52	65	16	22	29	74.6	239
14	Matt Hasselbeck, QB	TEN	319	518	61.6	3,571	6.89	80	18	14	19	82.4	223
15	Mark Sanchez, QB	NYJ	308	543	56.7	3,474	6.40	74	26	18	39	78.2	217
16	Andy Dalton, QB	CIN	300	516	58.1	3,398	6.59	84	20	13	24	80.4	212
17	Michael Vick, QB	PHI	253	423	59.8	3,303	7.81	73	18	14	23	84.9	254
18	Rex Grossman, QB	WSH	265	458	57.9	3,151	6.88	51	16	20	25	72.4	242
19	Alex Smith, QB	SF	273	445	61.3	3,144	7.07	56	17	5	44	90.7	197
20	Tarvaris Jackson, QB	SEA	271	450	60.2	3,091	6.87	61	14	13	42	79.2	206 
21	Carson Palmer, QB	OAK	199	328	60.7	2,753	8.39	78	13	16	17	80.5	275
22	Colt McCoy, QB	CLE	265	463	57.2	2,733	5.90	56	14	11	32	74.6	210
23	Matt Moore, QB	MIA	210	347	60.5	2,497	7.20	65	16	9	36	87.1	192
24	Matt Schaub, QB	HOU	178	292	61.0	2,479	8.49	80	15	6	16	96.8	248
25	Jay Cutler, QB	CHI	182	314	58.0	2,319	7.39	56	13	7	23	85.7	232
26	Blaine Gabbert, QB	JAC	210	413	50.8	2,214	5.36	74	12	11	40	65.4	148
27	Sam Bradford, QB	STL	191	357	53.5	2,164	6.06	68	6	6	36	70.5	216
28	Kevin Kolb, QB	ARI	146	253	57.7	1,955	7.73	73	9	8	30	81.1	217
29	John Skelton, QB	ARI	151	275	54.9	1,913	6.96	60	11	14	23	68.9	239
30	Christian Ponder, QB	MIN	158	291	54.3	1,853	6.37	72	13	13	30	70.1	168 
31	Kyle Orton, QB	DEN/KC	150	252	59.5	1,758	6.98	52	9	9	10	77.8	195
32	Tim Tebow, QB	DEN	126	271	46.5	1,729	6.38	56	12	6	33	72.9	124
33	Matt Cassel, QB	KC	160	269	59.5	1,713	6.37	52	10	9	22	76.6	190
34	Curtis Painter, QB	IND	132	243	54.3	1,541	6.34	87	6	9	16	66.6	171
35	Dan Orlovsky, QB	IND	122	193	63.2	1,201	6.22	40	6	4	14	82.4	150
36	Jason Campbell, QB	OAK	100	165	60.6	1,170	7.09	58	6	4	5	84.2	195
37	Donovan McNabb, QB	MIN	94	156	60.3	1,026	6.58	60	4	2	16	82.9	171
38	T.J. Yates, QB	HOU	82	134	61.2	949	7.08	50	3	3	15	80.7	158
39	Chad Henne, QB	MIA	64	112	57.1	868	7.75	41	4	4	11	79.0	217
40	Vince Young, QB	PHI	66	114	57.9	866	7.60	58	4	9	8	60.8	144
41	John Beck, QB	WSH	80	132	60.6	858	6.50	32	2	4	16	72.1	215
42	Tyler Palko, QB	KC	80	134	59.7	796	5.94	38	2	7	11	59.8	133
43	Caleb Hanie, QB	CHI	51	102	50.0	613	6.01	81	3	9	19	41.8	102
44	Seneca Wallace, QB	CLE	55	107	51.4	567	5.30	76	2	2	6	65.4	95
45	A.J. Feeley, QB	STL	53	97	54.6	548	5.65	34	1	2	10	66.0	110
46	Kellen Clemens, QB	STL	48	91	52.7	546	6.00	36	2	1	9	73.8	182
47	Jake Locker, QB	TEN	34	66	51.5	542	8.21	54	4	0	5	99.4	108
48	Matt Flynn, QB	GB	33	49	67.3	518	10.57	80	6	2	5	124.8	104
49	Kerry Collins, QB	IND	48	98	49.0	481	4.91	36	2	1	5	65.9	160
50	Josh McCown, QB	CHI	35	55	63.6	414	7.53	49	2	4	7	68.3	138 
51	Joe Webb, WR	MIN	34	63	54.0	376	5.97	36	3	2	3	74.6	34
52	Charlie Whitehurst, QB	SEA	27	56	48.2	298	5.32	38	1	1	8	62.9	99
53	Luke McCown, QB	JAC	30	56	53.6	296	5.29	26	0	4	4	39.0	74
54	Josh Johnson, QB	TB	19	36	52.8	246	6.83	42	1	2	3	60.6	27
55	Jake Delhomme, QB	HOU	18	28	64.3	211	7.54	40	1	0	2	99.0	211
56	Charlie Batch, QB	PIT	15	24	62.5	208	8.67	46	0	1	2	72.9	52
57	Chris Redman, QB	ATL	18	28	64.3	188	6.71	22	0	1	0	68.8	38
58	Stephen McGee, QB	DAL	24	38	63.2	182	4.79	19	1	0	3	83.4	182
59	Kyle Boller, QB	OAK	15	28	53.6	161	5.75	27	0	3	3	31.1	81
60	Bruce Gradkowski, QB	CIN	8	18	44.4	109	6.06	41	1	1	1	59.7	55 
61	Mike Kafka, QB	PHI	11	16	68.8	107	6.69	43	0	2	1	47.7	27
62	Jon Kitna, QB	DAL	6	10	60.0	87	8.70	33	1	2	0	82.1	29
63	Richard Bartel, QB	ARI	10	22	45.5	86	3.91	23	1	1	1	52.5	43
64	J.P. Losman, QB	MIA	6	10	60.0	60	6.00	25	0	0	5	77.1	30
65	Matt Leinart, QB	HOU	10	13	76.9	57	4.39	20	1	0	0	110.1	29
66	Sidney Rice, WR	SEA	1	1	100.0	55	55.00	55	0	0	0	118.8	6
67	Brandon Banks, WR	WSH	1	1	100.0	49	49.00	49	1	0	0	158.3	3
68	Jeremy Kerley, WR	NYJ	1	1	100.0	41	41.00	41	0	0	0	118.8	3
69	Shane Lechler, P	OAK	1	3	33.3	35	11.67	35	1	0	0	118.1	2
70 	Colin Kaepernick, QB	SF	3	5	60.0	35	7.00	19	0	0	0	81.3	12 
71	Daniel Sepulveda, P	PIT	1	1	100.0	33	33.00	33	0	0	0	118.8	4
72 	Shaun Hill, QB	DET	2	3	66.7	33	11.00	28	0	0	0	103.5	17
73	Chase Daniel, QB	NO	4	5	80.0	29	5.80	14	0	0	0	90.8	2
74	Mark Brunell, QB	NYJ	1	3	33.3	27	9.00	27	0	0	0	67.4	2
75 	Legedu Naanee, WR	CAR	1	1	100.0	27	27.00	27	0	0	0	118.8	2
76	Tyler Thigpen, QB	BUF	3	8	37.5	25	3.13	13	0	1	0	6.8	8
77	Brian Hoyer, QB	NE	1	1	100.0	22	22.00	22	0	0	0	118.8	7
78	Tyrod Taylor, QB	BAL	1	1	100.0	18	18.00	18	0	0	2	118.8	6
79	Emmanuel Sanders, WR	PIT	1	1	100.0	15	15.00	15	0	0	0	118.8	1
80	David Akers, PK	SF	1	1	100.0	14	14.00	14	1	0	0	158.3	1
81	Armanti Edwards, WR	CAR	1	1	100.0	11	11.00	11	0	0	0	112.5	1
82	Ray Rice, RB	BAL	1	1	100.0	1	1.00	1	1	0	0	118.8	0
83	Brandon Lloyd, WR	DEN/STL	0	1	0.0	0	0.00	0	0	0	0	39.6	0
 	Jerious Norwood, RB	STL	0	1	0.0	0	0.00	0	0	1	0	0.0	0
