Year	RK	PLAYER	TEAM	ATT	YDS	YDS/A	LONG	20+	TD	YDS/G	FUM	1DN
2014	1	DeMarco Murray, RB	DAL	392	1,845	4.7	51	15	13	115.3	3	85
2014	2	Le'Veon Bell, RB	PIT	290	1,361	4.7	81	8	8	85.1	0	73
2014	3	LeSean McCoy, RB	PHI	312	1,319	4.2	53	9	5	82.4	3	67
2014	4	Marshawn Lynch, RB	SEA	280	1,306	4.7	79	7	13	81.6	1	65
2014	5	Justin Forsett, RB	BAL	235	1,266	5.4	52	17	8	79.1	1	56
2014	6	Arian Foster, RB	HOU	260	1,246	4.8	51	9	8	95.8	2	52
2014	7	Eddie Lacy, RB	GB	246	1,139	4.6	44	8	9	71.2	3	58
2014	8	Jeremy Hill, RB	CIN	222	1,124	5.1	85	8	9	70.3	4	61
2014	9	Frank Gore, RB	SF	255	1,106	4.3	52	5	4	69.1	2	53
2014	10	Lamar Miller, RB	MIA	216	1,099	5.1	97	9	8	68.7	2	57
2014	11	Alfred Morris, RB	WSH	265	1,074	4.1	30	9	8	67.1	2	48
2014	12	Matt Forte, RB	CHI	266	1,038	3.9	32	1	6	64.9	1	63
2014	13	Jamaal Charles, RB	KC	206	1,033	5.0	63	6	9	68.9	4	50
2014	14	Mark Ingram, RB	NO	226	964	4.3	31	5	9	74.2	1	47
2014	15	Joique Bell, RB	DET	223	860	3.9	57	5	7	57.3	5	43
2014	16	C.J. Anderson, RB	DEN	179	849	4.7	27	7	8	56.6	0	47
2014	17	Russell Wilson, QB	SEA	118	849	7.2	55	8	6	53.1	5	45
2014	18	Chris Ivory, RB	NYJ	198	821	4.1	71	1	6	51.3	2	42
2014	19	Jonathan Stewart, RB	CAR	175	809	4.6	69	4	3	62.2	2	42
2014	20	Tre Mason, RB	STL	179	765	4.3	89	6	4	63.8	2	37
2014	21	Andre Williams, RB	NYG	217	721	3.3	50	4	7	45.1	1	30
2014	22	Steven Jackson, RB	ATL	190	707	3.7	55	2	6	47.1	0	37
2014	23	Giovani Bernard, RB	CIN	168	680	4.0	89	2	5	52.3	0	32
2014	24	Terrance West, RB	CLE	171	673	3.9	36	4	4	48.1	1	30
2014	25	Chris Johnson, RB	NYJ	155	663	4.3	47	4	1	41.4	1	21
2014	26	Andre Ellington, RB	ARI	201	660	3.3	22	4	3	55.0	2	27
2014	27	Rashad Jennings, RB	NYG	167	639	3.8	18	0	4	58.1	0	38
2014	28	Colin Kaepernick, QB	SF	104	639	6.1	90	7	1	39.9	5	28
2014	29	Isaiah Crowell, RB	CLE	148	607	4.1	35	5	8	37.9	3	34
2014	30	Branden Oliver, RB	SD	160	582	3.6	52	3	3	41.6	0	30
2014	31	Denard Robinson, RB	JAX	135	582	4.3	41	4	4	44.8	2	23
2014	32	Matt Asiata, RB	MIN	164	570	3.5	19	0	9	38.0	1	33
2014	33	Bishop Sankey, RB	TEN	152	569	3.7	22	1	2	35.6	2	26
2014	34	Cam Newton, QB	CAR	103	539	5.2	22	2	5	38.5	3	45
2014	35	Jerick McKinnon, RB	MIN	113	538	4.8	55	4	0	48.9	0	21
2014	36	Darren McFadden, RB	OAK	155	534	3.4	25	1	2	33.4	1	20
2014	37	Alfred Blue, RB	HOU	169	528	3.1	46	2	2	33.0	0	29
2014	38	Fred Jackson, RB	BUF	141	525	3.7	38	1	2	37.5	0	24
2014	39	Trent Richardson, RB	IND	159	519	3.3	27	1	3	34.6	2	25
2014	40	Doug Martin, RB	TB	134	494	3.7	63	2	2	44.9	0	23
2014	41	Knile Davis, RB	KC	134	463	3.5	48	3	6	28.9	3	23
2014	42	Ronnie Hillman, RB	DEN	106	434	4.1	37	3	3	54.3	1	20
2014	43	Boobie Dixon, RB	BUF	105	432	4.1	47	3	2	27.0	1	13
2014	44	Ahmad Bradshaw, RB	IND	90	425	4.7	29	3	2	42.5	3	18
2014	45	Latavius Murray, RB	OAK	82	424	5.2	90	4	2	28.3	1	18
2014	46	Blake Bortles, QB	JAX	56	419	7.5	34	7	0	29.9	3	27
2014	47	Jonas Gray, RB	NE	89	412	4.6	20	1	5	51.5	0	26
2014	48	Bobby Rainey, RB	TB	94	406	4.3	31	4	1	27.1	1	20
2014	49	Shonn Greene, RB	TEN	94	392	4.2	52	2	2	30.2	1	18
2014	50	Shane Vereen, RB	NE	96	391	4.1	19	0	2	24.4	0	15
2014	52	Khiry Robinson, RB	NO	76	362	4.8	62	2	3	36.2	1	23
2014	53	Daniel Herron, RB	IND	78	351	4.5	49	1	1	21.9	1	17
2014	54	Joseph Randle, RB	DAL	51	343	6.7	65	3	3	21.4	2	12
2014	55	Stevan Ridley, RB	NE	94	340	3.6	43	1	2	56.7	0	16
