Year	RK	PLAYER	TEAM	ATT	YDS	YDS/A	LONG	20+	TD	YDS/G	FUM	1DN
2009	1	Chris Johnson, RB	TEN	358	2,006	5.6	91	22	14	125.4	3	79
2009	2	Steven Jackson, RB	STL	324	1,416	4.4	58	10	4	94.4	2	61
2009	3	Thomas Jones, RB	NYJ	331	1,402	4.2	71	8	14	87.6	2	64
2009	4	Maurice Jones-Drew, RB	JAX	312	1,391	4.5	80	8	15	86.9	2	68
2009	5	Adrian Peterson, RB	MIN	314	1,383	4.4	64	12	18	86.4	6	74
2009	6	Ray Rice, RB	BAL	254	1,339	5.3	59	11	7	83.7	2	54
2009	7	Ryan Grant, RB	GB	282	1,253	4.4	62	8	11	78.3	0	61
2009	8	Cedric Benson, RB	CIN	301	1,251	4.2	42	10	6	96.2	1	57
2009	9	Jonathan Stewart, RB	CAR	221	1,133	5.1	67	11	10	70.8	3	54
2009	10	Ricky Williams, RB	MIA	241	1,121	4.7	68	4	11	70.1	4	55
2009	11	Jamaal Charles, RB	KC	190	1,120	5.9	76	9	7	74.7	2	54
2009	11 	Frank Gore, RB	SF	229	1,120	4.9	80	11	10	80.0	4	47
2009	13	DeAngelo Williams, RB	CAR	216	1,117	5.2	77	7	7	85.9	3	51
2009	14	Rashard Mendenhall, RB	PIT	242	1,108	4.6	60	9	7	69.3	3	48
2009	15	Fred Jackson, RB	BUF	237	1,062	4.5	43	5	2	66.4	2	43
2009	16	Knowshon Moreno, RB	DEN	247	947	3.8	36	2	7	59.2	2	52
2009	17	Marion Barber, RB	DAL	214	932	4.4	35	5	7	62.1	1	58
2009	18	Matt Forte, RB	CHI	258	929	3.6	61	3	4	58.1	5	39
2009	19	Michael Turner, RB	ATL	178	871	4.9	58	9	10	79.2	4	43
2009	20	Jerome Harrison, RB	CLE	194	862	4.4	71	3	5	61.6	2	37
2009	21	Brandon Jacobs, RB	NYG	224	835	3.7	31	2	5	55.7	2	43
2009	22	Joseph Addai, RB	IND	219	828	3.8	21	2	10	55.2	1	44
2009	23	Cadillac Williams, RB	TB	211	823	3.9	35	7	4	51.4	1	43
2009	24	Pierre Thomas, RB	NO	147	793	5.4	34	7	6	56.6	1	36
2009	24 	Beanie Wells, RB	ARI	176	793	4.5	33	4	7	49.6	4	39
2009	26	Ahmad Bradshaw, RB	NYG	163	778	4.8	38	6	7	51.9	3	46
2009	27	Laurence Maroney, RB	NE	194	757	3.9	45	2	9	50.5	3	44
2009	28	Kevin Smith, RB	DET	217	747	3.4	31	2	4	57.5	3	36
2009	29	LaDainian Tomlinson, RB	SD	223	730	3.3	36	3	12	52.1	1	40
2009	30	Felix Jones, RB	DAL	116	685	5.9	56	5	3	48.9	2	24
2009	31	Julius Jones, RB	SEA	177	663	3.7	62	4	2	47.4	0	32
2009	32	Mike Bell, RB	NO	172	654	3.8	35	4	5	50.3	2	33
2009	33	Ronnie Brown, RB	MIA	147	648	4.4	45	3	8	72.0	1	32
2009	34	Correll Buckhalter, RB	DEN	120	642	5.4	45	5	1	45.9	3	29
2009	35	LeSean McCoy, RB	PHI	155	637	4.1	66	1	4	39.8	2	28
2009	36	Justin Forsett, RB	SEA	114	619	5.4	35	6	4	38.7	2	29
2009	37	Jason Snelling, FB	ATL	142	613	4.3	31	6	4	43.8	1	37
2009	38	Tim Hightower, RB	ARI	143	598	4.2	50	2	8	37.4	5	33
2009	39	Michael Bush, RB	OAK	123	589	4.8	60	3	3	36.8	1	22
2009	40	Willis McGahee, RB	BAL	109	544	5.0	77	3	12	34.0	1	28
2009	41	Shonn Greene, RB	NYJ	108	540	5.0	33	5	2	38.6	3	24
2009	42	Jamal Lewis, RB	CLE	143	500	3.5	18	0	0	55.6	0	18
2009	43	Clinton Portis, RB	WSH	124	494	4.0	78	2	1	61.8	1	19
2009	44	Justin Fargas, RB	OAK	129	491	3.8	35	3	3	40.9	1	23
2009	45	Marshawn Lynch, RB	BUF	120	450	3.8	47	2	2	34.6	3	18
2009	46	Steve Slaton, RB	HOU	131	437	3.3	32	3	3	39.7	5	26
2009	47	Derrick Ward, RB	TB	114	409	3.6	28	3	1	29.2	0	13
2009	48	Reggie Bush, RB	NO	70	390	5.6	55	2	5	27.9	2	19
2009	48	Ryan Moats, RB	HOU	101	390	3.9	17	0	4	27.9	2	25
