Year	RK	PLAYER	TEAM	REC	TAR	YDS	AVG	TD	LONG	20+	YDS/G	FUM	YAC	1DN
2007 	1	Reggie Wayne, WR	IND	104	157	1,510	14.5	10	64	25	94.4	3	376	72
2007 	2	Randy Moss, WR	NE	98	160	1,493	15.2	23	65	18	93.3	0	280	74
2007 	3	Chad Johnson, WR	CIN	93	161	1,440	15.5	8	70	27	90.0	2	292	74
2007 	4	Larry Fitzgerald, WR	ARI	100	167	1,409	14.1	10	48	19	93.9	3	292	69
2007 	5	Terrell Owens, WR	DAL	81	144	1,355	16.7	15	52	22	90.3	0	352	69
2007 	6	Brandon Marshall, WR	DEN	102	170	1,325	13.0	7	68	13	82.8	3	524	70
2007 	7	Braylon Edwards, WR	CLE	80	154	1,289	16.1	16	78	21	80.6	3	322	57
2007 	8	Roddy White, WR	ATL	83	137	1,202	14.5	6	69	19	75.1	3	472	52
2007 	8 	Marques Colston, WR	NO	98	144	1,202	12.3	11	45	14	75.1	1	388	64
2007 	10	Torry Holt, WR	STL	93	147	1,189	12.8	7	40	16	74.3	2	199	63 
2007 	11	Wes Welker, WR	NE	112	145	1,175	10.5	8	42	10	73.4	2	626	65
2007 	12	Tony Gonzalez, TE	KC	99	156	1,172	11.8	5	31	14	73.3	0	297	59
2007 	13	Bobby Engram, WR	SEA	94	134	1,147	12.2	6	49	12	71.7	1	357	63
2007 	14	Jason Witten, TE	DAL	96	142	1,145	11.9	7	53	12	71.6	1	382	56
2007 	15	T.J. Houshmandzadeh, WR	CIN	112	169	1,143	10.2	12	42	9	71.4	2	339	70
2007 	16	Jerricho Cotchery, WR	NYJ	82	127	1,130	13.8	2	50	18	75.3	1	424	51
2007 	17	Kevin Curtis, WR	PHI	77	136	1,110	14.4	6	75	14	69.4	0	346	49
2007 	18	Kellen Winslow, TE	CLE	82	149	1,106	13.5	5	49	17	69.1	2	356	56
2007 	19	Derrick Mason, WR	BAL	103	164	1,087	10.6	5	79	7	67.9	1	299	60
2007 	20	Donald Driver, WR	GB	82	122	1,048	12.8	2	47	14	69.9	1	430	49 
2007 	21	Plaxico Burress, WR	NYG	70	141	1,025	14.6	12	60	15	64.1	0	270	49
2007 	22	Joey Galloway, WR	TB	57	98	1,014	17.8	6	69	13	67.6	0	383	37
2007 	23	Steve Smith, WR	CAR	87	149	1,002	11.5	7	74	9	66.8	1	456	43
2007 	24	Dwayne Bowe, WR	KC	70	117	995	14.2	5	58	13	62.2	0	354	51
2007 	25	Antonio Gates, TE	SD	75	118	984	13.1	9	49	15	61.5	0	307	54
2007 	26	Chris Chambers, WR	MIA/SD	66	129	970	14.7	4	44	16	60.6	1	159	46
2007 	27	Bernard Berrian, WR	CHI	71	127	951	13.4	5	59	11	59.4	1	259	47
2007 	28	Shaun McDonald, WR	DET	79	128	943	11.9	6	49	12	58.9	2	234	46
2007 	29	Santonio Holmes, WR	PIT	52	85	942	18.1	8	83	15	72.5	1	249	42
2007 	30	Greg Jennings, WR	GB	53	85	920	17.4	12	82	13	70.8	1	381	37 
2007 	31	Anquan Boldin, WR	ARI	71	100	853	12.0	9	44	14	71.1	2	377	43
2007 	32	Andre Johnson, WR	HOU	60	86	851	14.2	8	77	8	94.6	1	254	39
2007 	33	Lee Evans, WR	BUF	55	114	849	15.4	5	85	12	53.1	0	198	38
2007 	34	Roy Williams, WR	DET	64	103	838	13.1	5	91	11	69.8	2	284	34
2007 	35	Santana Moss, WR	WSH	61	115	808	13.2	3	49	11	57.7	1	185	43
2007 	36	Kevin Walter, WR	HOU	65	106	800	12.3	4	46	8	50.0	0	163	43
2007 	37	David Patten, WR	NO	54	88	792	14.7	3	58	14	49.5	2	253	37
2007 	38	Chris Cooley, TE	WSH	66	110	786	11.9	8	39	10	49.1	1	288	46
2007 	39	Reggie Brown, WR	PHI	61	111	780	12.8	4	45	8	48.8	1	155	38
2007 	40	Brian Westbrook, RB	PHI	90	120	771	8.6	5	57	7	51.4	1	804	31
2007 	41	Owen Daniels, TE	HOU	63	93	768	12.2	3	29	8	48.0	4	219	44
2007 	42	Amani Toomer, WR	NYG	59	105	760	12.9	3	40	8	47.5	0	191	42
2007 	43	Calvin Johnson, WR	DET	48	95	756	15.8	4	49	12	50.4	1	173	38
2007 	44	Justin Gage, WR	TEN	55	85	750	13.6	2	73	10	46.9	1	240	45
2007 	45	Isaac Bruce, WR	STL	55	101	733	13.3	4	37	13	52.4	0	171	36
2007 	46	Hines Ward, WR	PIT	71	112	732	10.3	7	25	7	56.3	0	252	47
2007 	47	Antwaan Randle El, WR	WSH	51	77	728	14.3	1	54	9	48.5	1	184	38
2007 	48	Ike Hilliard, WR	TB	62	87	722	11.6	1	56	7	48.1	2	300	37
2007 	49	Roydell Williams, WR	TEN	55	93	719	13.1	4	48	6	44.9	0	218	38
2007 	50	Ronald Curry, WR	OAK	55	97	717	13.0	4	49	9	44.8	0	226	35 
2007 	51	Jerry Porter, WR	OAK	44	102	705	16.0	6	59	13	44.1	0	187	29
2007 	52	Donte' Stallworth, WR	NE	46	75	697	15.2	3	69	10	43.6	0	315	27
2007 	52 	Patrick Crayton, WR	DAL	50	81	697	13.9	7	59	10	46.5	1	290	33
2007 	54	Nate Burleson, WR	SEA	50	96	694	13.9	9	45	16	43.4	1	205	37
2007 	55	James Jones, WR	GB	47	80	676	14.4	2	79	10	42.3	3	220	29
2007 	56	Mike Furrey, WR	DET	61	90	664	10.9	1	49	2	41.5	0	177	37
2007 	57	Deion Branch, WR	SEA	49	85	661	13.5	4	65	10	60.1	0	208	30
2007 	58	Bobby Wade, WR	MIN	54	85	647	12.0	3	40	4	40.4	2	158	33
2007 	59	Laveranues Coles, WR	NYJ	55	89	646	11.7	6	57	9	53.8	0	141	35
2007 	60	Brandon Stokley, WR	DEN	40	71	635	15.9	5	58	10	48.8	0	118	34 
2007 	61	Reggie Williams, WR	JAC	38	60	629	16.6	10	80	11	41.9	3	213	29
2007 	62	Vincent Jackson, WR	SD	41	80	623	15.2	3	45	10	38.9	0	119	28
2007 	63	Jeremy Shockey, TE	NYG	57	93	619	10.9	3	29	8	44.2	0	251	33
2007 	64	Dallas Clark, TE	IND	58	101	616	10.6	11	39	5	41.1	0	208	37
2007 	65	Joe Jurevicius, WR	CLE	50	81	614	12.3	3	50	7	38.4	0	222	34
2007 	66	Dennis Northcutt, WR	JAC	44	73	601	13.7	4	55	9	40.1	0	124	30
2007 	67	Arnaz Battle, WR	SF	50	103	600	12.0	5	57	6	37.5	2	149	27
2007 	68	Andre Davis, WR	HOU	33	63	583	17.7	3	53	10	41.6	1	101	19
2007 	69	Josh Reed, WR	BUF	51	89	578	11.3	0	30	8	38.5	0	207	33
2007 	70	Anthony Gonzalez, WR	IND	37	51	576	15.6	3	57	11	44.3	0	167	27 
2007 	71	Donald Lee, TE	GB	48	63	575	12.0	6	60	7	38.3	1	274	29
2007 	72	Muhsin Muhammad, WR	CHI	40	83	570	14.3	3	44	8	35.6	0	182	28
2007 	73	Heath Miller, TE	PIT	47	61	566	12.0	7	29	9	35.4	0	227	32
2007 	74	Marty Booker, WR	MIA	50	105	556	11.1	1	26	5	37.1	0	129	28
2007 	75	Tony Scheffler, TE	DEN	49	65	549	11.2	5	41	5	34.3	1	216	29
2007 	76	Desmond Clark, TE	CHI	44	67	545	12.4	4	52	9	34.1	1	241	24
2007 	77	Michael Jenkins, WR	ATL	53	85	532	10.0	4	29	4	35.5	0	199	31
2007 	78	Mark Clayton, WR	BAL	48	88	531	11.1	0	52	4	33.2	0	131	30
2007 	79	Bryant Johnson, WR	ARI	46	88	528	11.5	2	30	2	33.0	0	93	33
2007 	80	Ernest Wilford, TE	JAC	45	74	518	11.5	3	35	5	32.4	0	101	35
2007 	81	Drew Carter, WR	CAR	38	74	517	13.6	4	49	7	32.3	0	124	28
2007 	82	Vernon Davis, TE	SF	52	86	509	9.8	4	31	5	36.4	1	154	30
2007 	83	Darrell Jackson, WR	SF	46	104	497	10.8	3	34	6	33.1	1	75	33
2007 	84	LaDainian Tomlinson, RB	SD	60	86	475	7.9	3	36	6	29.7	0	552	21
2007 	85	Nate Washington, WR	PIT	29	55	450	15.5	5	40	8	28.1	0	78	21
2007 	86	Jabar Gaffney, WR	NE	36	50	449	12.5	5	56	6	28.1	0	121	21
2007 	87	Alge Crumpler, TE	ATL	42	71	444	10.6	5	55	5	31.7	0	272	22
2007 	87 	Zach Miller, TE	OAK	44	68	444	10.1	3	28	2	27.8	1	145	24
2007 	89	Laurent Robinson, WR	ATL	37	76	437	11.8	1	74	5	29.1	1	128	14
2007 	90	Frank Gore, RB	SF	53	69	436	8.2	1	23	6	29.1	1	411	20 
2007 	91	Randy McMichael, TE	STL	39	66	429	11.0	3	29	4	26.8	0	169	28
2007 	92	Bo Scaife, TE	TEN	46	78	421	9.2	1	26	3	26.3	2	169	27
2007 	93	Adrian Peterson, RB	CHI	51	64	420	8.2	0	30	3	26.3	1	447	15
2007 	93 	Ted Ginn, WR	MIA	34	71	420	12.4	2	54	5	26.3	0	171	18
2007 	95	Reggie Bush, RB	NO	73	99	417	5.7	2	25	1	34.8	0	401	24
2007 	96	Chris Baker, TE	NYJ	41	61	409	10.0	3	22	1	27.3	1	159	29
