Year	RK	PLAYER	TEAM	REC	TAR	YDS	AVG	TD	LONG	20+	YDS/G	FUM	YAC	1DN
2003 	1	Torry Holt, WR	STL	117	0	1,696	14.5	12	48	26	106.0	1	0	84
2003 	2	Randy Moss, WR	MIN	111	0	1,632	14.7	17	72	27	102.0	1	0	76
2003 	3	Anquan Boldin, WR	ARI	101	0	1,377	13.6	8	71	20	86.1	2	0	62
2003 	4	Chad Johnson, WR	CIN	90	0	1,355	15.1	10	82	20	84.7	0	0	66
2003 	5	Derrick Mason, WR	TEN	95	0	1,303	13.7	8	50	16	81.4	0	0	68
2003 	6	Marvin Harrison, WR	IND	94	0	1,272	13.5	10	79	17	84.8	2	0	60
2003 	7	Laveranues Coles, WR	WSH	82	0	1,204	14.7	6	64	21	75.3	0	0	54
2003 	8	Keenan McCardell, WR	TB	84	0	1,174	14.0	8	76	13	73.4	1	0	53
2003 	9	Hines Ward, WR	PIT	95	0	1,163	12.2	10	50	18	72.7	0	0	60
2003 	10	Darrell Jackson, WR	SEA	68	0	1,137	16.7	9	80	18	71.1	1	0	54 
2003 	11	Steve Smith, WR	CAR	88	0	1,110	12.6	7	67	16	69.4	2	0	48
2003 	12	Santana Moss, WR	NYJ	74	0	1,105	14.9	10	65	17	69.1	2	0	49
2003 	13	Terrell Owens, WR	SF	80	0	1,102	13.8	9	75	15	73.5	0	0	55
2003 	14	Amani Toomer, WR	NYG	63	0	1,057	16.8	5	77	16	66.1	0	0	48
2003 	15	Isaac Bruce, WR	STL	69	0	981	14.2	5	41	19	65.4	0	0	49
2003 	16	Andre Johnson, WR	HOU	66	0	976	14.8	4	46	14	61.0	0	0	45
2003 	17	Joe Horn, WR	NO	78	0	973	12.5	10	50	10	64.9	2	0	52
2003 	18	Chris Chambers, WR	MIA	64	0	963	15.0	11	57	17	60.2	1	0	50
2003 	19	Tony Gonzalez, TE	KC	71	0	916	12.9	10	67	14	57.3	0	0	48
2003 	20	Koren Robinson, WR	SEA	65	0	896	13.8	4	38	14	59.7	1	0	39 
2003 	21	David Boston, WR	SD	70	0	880	12.6	7	46	13	62.9	2	0	42
2003 	22	Jerry Rice, WR	OAK	63	0	869	13.8	2	47	13	54.3	2	0	44
2003 	23	Plaxico Burress, WR	PIT	60	0	860	14.3	4	47	11	53.8	1	0	40
2003 	24	Eddie Kennison, WR	KC	56	0	853	15.2	5	51	11	53.3	1	0	43
2003 	25	Rod Smith, WR	DEN	74	0	845	11.4	3	38	8	56.3	0	0	48
2003 	26	Peerless Price, WR	ATL	64	0	838	13.1	3	49	9	52.4	0	0	40
2003 	26 	Reggie Wayne, WR	IND	68	0	838	12.3	7	57	8	52.4	0	0	49
2003 	28	Muhsin Muhammad, WR	CAR	54	0	837	15.5	3	60	18	55.8	3	0	37
2003 	29	Peter Warrick, WR	CIN	79	0	819	10.4	7	77	8	54.6	0	0	48
2003 	30	Justin McCareins, WR	TEN	47	0	813	17.3	7	73	14	50.8	0	0	40 
2003 	31	Jimmy Smith, WR	JAC	54	0	805	14.9	4	67	13	67.1	1	0	38
2003 	32	Deion Branch, WR	NE	57	0	803	14.1	3	66	9	53.5	0	0	40
2003 	33	Eric Moulds, WR	BUF	64	0	780	12.2	1	49	10	60.0	0	0	35
2003 	34	Shannon Sharpe, TE	DEN	62	0	770	12.4	8	28	11	51.3	0	0	42
2003 	35	Terry Glenn, WR	DAL	52	0	754	14.5	5	51	14	47.1	2	0	37
2003 	36	Johnnie Morton, WR	KC	50	0	740	14.8	4	50	10	46.3	0	0	36
2003 	37	Bobby Shaw, WR	BUF	56	0	732	13.1	4	54	7	45.8	1	0	37
2003 	38	Dennis Northcutt, WR	CLE	62	0	729	11.8	2	44	6	48.6	0	0	43
2003 	39	LaDainian Tomlinson, RB	SD	100	0	725	7.3	4	73	5	45.3	0	0	26
2003 	40	Javon Walker, WR	GB	41	0	716	17.5	9	66	12	44.8	1	0	27
2003 	41	Marty Booker, WR	CHI	52	0	715	13.8	4	61	10	55.0	0	0	31
2003 	42	Todd Heap, TE	BAL	57	0	693	12.2	3	33	13	43.3	1	0	32
2003 	43	Priest Holmes, RB	KC	74	0	690	9.3	0	36	7	43.1	0	0	36
2003 	44	Joey Galloway, WR	DAL	34	0	672	19.8	2	64	14	44.8	0	0	27
2003 	45	Moe Williams, RB	MIN	65	0	644	9.9	3	42	6	40.3	0	0	34
2003 	46	Curtis Conway, WR	NYJ	46	0	640	13.9	2	45	11	40.0	0	0	33
2003 	47	Bobby Engram, WR	SEA	52	0	637	12.3	6	34	8	39.8	1	0	34
2003 	48	Kevin Johnson, WR	CLE/JAC	58	0	634	10.9	3	41	10	42.3	0	0	32
2003 	49	Travis Taylor, WR	BAL	39	0	632	16.2	3	73	9	39.5	0	0	23
