61 	Seneca Wallace, QB	SEA	13	25	52.0	173	6.92	42	1	1	3	70.9	25
62	Cody Pickett, QB	SF	14	35	40.0	140	4.00	28	0	2	3	28.3	28
63	Matt Mauck, QB	TEN	15	27	55.6	136	5.04	17	0	1	1	53.9	68
64	Marques Tuiasosopo, QB	OAK	14	26	53.8	124	4.77	20	1	2	6	47.6	124
65	Philip Rivers, QB	SD	12	22	54.5	115	5.23	22	0	1	3	50.4	58
66	Jay Fiedler, QB	NYJ	8	13	61.5	107	8.23	23	1	0	0	113.3	54
67	Quinn Gray, QB	JAC	8	14	57.1	100	7.14	26	2	0	1	119.0	100
68	Jon Kitna, QB	CIN	17	29	58.6	99	3.41	16	0	2	2	36.4	33
69	Antwaan Randle El, WR	PIT	3	3	100.0	67	22.33	51	1	0	0	158.3	4
70	Aaron Rodgers, QB	GB	9	16	56.3	65	4.06	16	0	1	3	39.8	22
71	Chris Weinke, QB	CAR	7	13	53.8	64	4.92	18	1	0	0	93.1	21
72	Dan Orlovsky, QB	DET	7	17	41.2	63	3.71	20	0	0	1	51.8	32
73	Jeff Blake, QB	CHI	8	9	88.9	55	6.11	17	1	0	0	129.2	28
74	LaDainian Tomlinson, RB	SD	3	4	75.0	47	11.75	26	3	0	0	153.1	3
75	Doug Flutie, QB	NE	5	10	50.0	29	2.90	13	0	0	1	56.3	6
76	Arnaz Battle, WR	SF	2	2	100.0	27	13.50	24	0	0	0	118.8	3
77	Craig Hentrich, P	TEN	1	2	50.0	26	13.00	26	0	0	0	95.8	2
78	Brad Maynard, P	CHI	1	2	50.0	18	9.00	18	0	0	0	81.3	1
79	Clinton Portis, RB	WSH	1	2	50.0	17	8.50	17	1	0	0	118.8	1
80 	Kliff Kingsbury, QB	NYJ	1	2	50.0	17	8.50	17	0	0	0	79.2	17
81	Tony Fisher, RB	GB	1	1	100.0	14	14.00	14	0	0	0	118.8	1
82	Matt Jones, WR	JAC	2	3	66.7	12	4.00	6	0	0	0	74.3	1
83	Bradlee Van Pelt, QB	DEN	2	8	25.0	7	0.88	5	0	0	0	39.6	2
84	B.J. Sander, P	GB	1	1	100.0	4	4.00	4	0	0	0	83.3	0
85	Roscoe Parrish, WR	BUF	1	1	100.0	3	3.00	3	0	0	0	79.2	0
86	Chris Gardocki, P	PIT	0	1	0.0	0	0.00	0	0	0	0	39.6	0
 	Rod Smith, WR	DEN	0	1	0.0	0	0.00	0	0	0	1	39.6	0
 	Keyshawn Johnson, WR	DAL	0	1	0.0	0	0.00	0	0	0	0	39.6	0
 	Tiki Barber, RB	NYG	0	1	0.0	0	0.00	0	0	0	0	39.6	0
 	Marty Booker, WR	MIA	0	1	0.0	0	0.00	0	0	0	0	39.6	0
 	Hunter Smith, P	IND	0	1	0.0	0	0.00	0	0	0	0	39.6	0
 	Drew Bennett, WR	TEN	0	1	0.0	0	0.00	0	0	0	0	39.6	0
 	DeShaun Foster, RB	CAR	0	1	0.0	0	0.00	0	0	0	0	39.6	0
 	Randy Hymes, WR	BAL	0	2	0.0	0	0.00	0	0	0	0	39.6	0
 	Anquan Boldin, WR	ARI	0	1	0.0	0	0.00	0	0	0	0	39.6	0
 	Domanick Williams, RB	HOU	0	1	0.0	0	0.00	0	0	0	0	39.6	0
 	Mark Clayton, WR	BAL	0	1	0.0	0	0.00	0	0	0	0	39.6	0
 	Samkon Gado, RB	GB	0	1	0.0	0	0.00	0	0	0	0	39.6	0
