Year	RK	PLAYER	TEAM	REC	TAR	YDS	AVG	TD	LONG	20+	YDS/G	FUM	YAC	1DN
2005 	1	Steve Smith, WR	CAR	103	0	1,563	15.2	12	80	22	97.7	1	0	70
2005 	2	Santana Moss, WR	WSH	84	0	1,483	17.7	9	78	24	92.7	2	0	60
2005 	3	Chad Johnson, WR	CIN	97	0	1,432	14.8	9	70	16	89.5	1	0	74
2005 	4	Larry Fitzgerald, WR	ARI	103	0	1,409	13.7	10	47	27	88.1	0	0	67
2005 	5	Anquan Boldin, WR	ARI	102	0	1,402	13.7	7	54	21	100.1	2	0	68
2005 	6	Torry Holt, WR	STL	102	0	1,331	13.0	9	44	15	95.1	2	0	63
2005 	7	Joey Galloway, WR	TB	83	0	1,287	15.5	10	80	19	80.4	0	0	57
2005 	8	Donald Driver, WR	GB	86	0	1,221	14.2	5	59	17	76.3	0	0	63
2005 	9	Plaxico Burress, WR	NYG	76	0	1,214	16.0	7	78	20	75.9	1	0	49
2005 	10	Marvin Harrison, WR	IND	82	0	1,146	14.0	12	80	14	76.4	0	0	59 
2005 	11	Terry Glenn, WR	DAL	62	0	1,136	18.3	7	71	18	71.0	0	0	49
2005 	12	Chris Chambers, WR	MIA	82	0	1,118	13.6	11	77	18	69.9	3	0	59
2005 	13	Rod Smith, WR	DEN	85	0	1,105	13.0	6	72	15	69.1	2	0	55
2005 	14	Eddie Kennison, WR	KC	68	0	1,102	16.2	5	55	17	68.9	1	0	47
2005 	15	Antonio Gates, TE	SD	89	0	1,101	12.4	10	38	16	73.4	0	0	62
2005 	16	Derrick Mason, WR	BAL	86	0	1,073	12.5	3	39	18	67.1	1	0	52
2005 	17	Reggie Wayne, WR	IND	83	0	1,055	12.7	5	66	11	65.9	1	0	54
2005 	18	Jimmy Smith, WR	JAC	70	0	1,023	14.6	6	45	15	63.9	0	0	56
2005 	19	Antonio Bryant, WR	CLE	69	0	1,009	14.6	4	54	15	63.1	1	0	45
2005 	20	Randy Moss, WR	OAK	60	0	1,005	16.8	8	79	15	62.8	0	0	46 
2005 	21	Deion Branch, WR	NE	78	0	998	12.8	5	51	13	62.4	0	0	51
2005 	22	Hines Ward, WR	PIT	69	0	975	14.1	11	85	10	65.0	0	0	53
2005 	23	T.J. Houshmandzadeh, WR	CIN	78	0	956	12.3	7	43	14	68.3	1	0	52
2005 	24	Donte' Stallworth, WR	NO	70	0	945	13.5	7	43	16	59.1	0	0	50
2005 	25	Jerry Porter, WR	OAK	76	0	942	12.4	5	49	14	58.9	1	0	45
2005 	26	Keenan McCardell, WR	SD	70	0	917	13.1	9	54	12	57.3	0	0	50
2005 	27	Tony Gonzalez, TE	KC	78	0	905	11.6	2	39	9	56.6	0	0	45
2005 	28	Jeremy Shockey, TE	NYG	65	0	891	13.7	7	59	12	59.4	0	0	46
2005 	29	Alge Crumpler, TE	ATL	65	0	877	13.5	5	48	15	54.8	1	0	42
2005 	30	Todd Heap, TE	BAL	75	0	855	11.4	7	48	12	53.4	2	0	43 
2005 	31	Laveranues Coles, WR	NYJ	73	0	845	11.6	5	43	6	52.8	1	0	52
2005 	32	Keyshawn Johnson, WR	DAL	71	0	839	11.8	6	34	7	52.4	3	0	46
