Year	RK	PLAYER	TEAM	ATT	YDS	YDS/A	LONG	20+	TD	YDS/G	FUM	1DN
2016	1	Ezekiel Elliott, RB	DAL	322	1,631	5.1	60	14	15	108.7	5	91
2016	2	Jordan Howard, RB	CHI	252	1,313	5.2	69	10	6	87.5	1	70
2016	3	DeMarco Murray, RB	TEN	293	1,287	4.4	75	4	9	80.4	3	64
2016	4	Jay Ajayi, RB	MIA	260	1,272	4.9	62	10	8	84.8	4	60
2016	5	Le'Veon Bell, RB	PIT	261	1,268	4.9	44	4	7	105.7	3	69
2016	6	LeSean McCoy, RB	BUF	234	1,267	5.4	75	11	13	84.5	3	55
2016	7	David Johnson, RB	ARI	293	1,239	4.2	58	6	16	77.4	5	72
2016	8	LeGarrette Blount, RB	NE	299	1,161	3.9	44	7	18	72.6	2	67
2016	9	Devonta Freeman, RB	ATL	227	1,079	4.8	75	7	11	67.4	1	61
2016	10	Lamar Miller, RB	HOU	268	1,073	4.0	45	7	5	76.6	2	52
2016	11	Mark Ingram, RB	NO	205	1,043	5.1	75	4	6	65.2	2	49
2016	12	Frank Gore, RB	IND	263	1,025	3.9	22	1	4	64.1	2	50
2016	13	Melvin Gordon, RB	LAC	254	997	3.9	48	7	10	76.7	2	61
2016	14	Carlos Hyde, RB	SF	217	988	4.6	47	7	6	76.0	4	48
2016	15	Isaiah Crowell, RB	CLE	198	952	4.8	85	8	7	59.5	2	45
2016	16	Spencer Ware, RB	KC	214	921	4.3	46	3	3	65.8	3	47
2016	17	Todd Gurley, RB	LAR	278	885	3.2	24	2	6	55.3	2	48
2016	18	Jeremy Hill, RB	CIN	222	839	3.8	74	5	9	55.9	0	42
2016	19	Jonathan Stewart, RB	CAR	218	824	3.8	47	6	9	63.4	3	47
2016	20	Matt Forte, RB	NYJ	218	813	3.7	32	5	7	58.1	1	35
2016	21	Latavius Murray, RB	OAK	195	788	4.0	42	5	12	56.3	2	52
2016	22	Terrance West, RB	BAL	193	774	4.0	41	5	5	48.4	2	35
2016	23	Bilal Powell, RB	NYJ	131	722	5.5	35	4	3	45.1	0	45
2016	24	Rob Kelley, RB	WSH	168	704	4.2	66	4	6	46.9	0	29
2016	25	Ryan Mathews, RB	PHI	155	661	4.3	30	6	8	50.8	3	38
2016	26	Devontae Booker, RB	DEN	174	612	3.5	18	0	4	38.3	2	30
2016	27	Rashad Jennings, RB	NYG	181	593	3.3	25	3	3	45.6	0	29
2016	28	Tyrod Taylor, QB	BUF	95	580	6.1	49	7	6	38.7	3	31
2016	29	Mike Gillislee, RB	BUF	101	577	5.7	44	7	8	38.5	0	39
2016	30	Jacquizz Rodgers, RB	TB	129	560	4.3	45	3	2	56.0	0	29
2016	31	Tim Hightower, RB	NO	133	548	4.1	30	4	4	34.3	0	32
2016	32	Jerick McKinnon, RB	MIN	159	539	3.4	36	2	2	35.9	0	21
2016	33	Tevin Coleman, RB	ATL	118	520	4.4	55	5	8	40.0	1	24
2016	34	Jalen Richard, RB	OAK	83	491	5.9	75	5	1	30.7	0	14
2016	35	Derrick Henry, RB	TEN	110	490	4.5	22	1	5	32.7	0	29
2016	36	Christine Michael, RB	GB/SEA	117	469	4.0	41	2	6	52.1	1	27
2016	37	Colin Kaepernick, QB	SF	69	468	6.8	30	3	2	39.0	2	28
2016	38	DeAndre Washington, RB	OAK	87	467	5.4	30	7	2	33.4	1	19
2016	39	T.J. Yeldon, RB	JAX	130	465	3.6	16	0	1	31.0	2	21
2016	40	Matt Jones, RB	WSH	99	460	4.6	57	3	3	65.7	3	28
2016	41	Ty Montgomery, RB	GB	77	457	5.9	61	5	3	30.5	1	20
2016	42	Paul Perkins, RB	NYG	112	456	4.1	22	2	0	32.6	1	22
2016	43	Chris Ivory, RB	JAX	117	439	3.8	42	2	3	39.9	5	21
2016	44	Darren Sproles, RB	PHI	94	438	4.7	25	1	2	29.2	0	22
2016	45	C.J. Anderson, RB	DEN	110	437	4.0	28	1	4	62.4	0	22
2016	46	Doug Martin, RB	TB	144	421	2.9	17	0	3	52.6	1	23
2016	47	Alfred Blue, RB	HOU	100	420	4.2	25	2	1	30.0	2	23
2016	48	Matt Asiata, RB	MIN	121	402	3.3	29	2	6	25.1	1	27
2016	49	Kenneth Dixon, RB	BAL	88	382	4.3	20	1	2	31.8	1	26
2016	50	Aaron Rodgers, QB	GB	67	369	5.5	23	3	4	23.1	3	25
2016	51	Eddie Lacy, RB	GB	71	360	5.1	31	4	0	72.0	0	15
2016	52	Cam Newton, QB	CAR	90	359	4.0	28	2	5	23.9	1	28
2016	53 	Blake Bortles, QB	JAX	58	359	6.2	27	4	3	22.4	2	20
2016	54	Duke Johnson Jr., RB	CLE	73	358	4.9	22	2	1	22.4	1	17
2016	55	Theo Riddick, RB	DET	92	357	3.9	42	2	1	35.7	0	19
2016	56	Chris Thompson, RB	WSH	68	356	5.2	25	2	3	22.3	1	16
2016	57	Marcus Mariota, QB	TEN	60	349	5.8	41	3	2	23.3	7	19
2016	58 	Thomas Rawls, RB	SEA	109	349	3.2	45	1	3	38.8	0	21
2016	59	Rex Burkhead, RB	CIN	74	344	4.6	17	0	2	21.5	0	23
2016	60	DeAngelo Williams, RB	PIT	98	343	3.5	17	0	4	38.1	0	20
2016	61	Andrew Luck, QB	IND	64	341	5.3	33	3	2	22.7	3	20
2016	62	Giovani Bernard, RB	CIN	91	337	3.7	17	0	2	33.7	0	15
2016	63	Zach Zenner, RB	DET	88	334	3.8	20	1	4	23.9	1	22
2016	64	Wendell Smallwood, RB	PHI	77	312	4.1	19	0	1	24.0	1	20
2016	65	Charcandrick West, RB	KC	88	293	3.3	28	2	1	19.5	0	14
2016	66	Dion Lewis, RB	NE	64	283	4.4	15	0	0	40.4	1	14
2016	67	Dak Prescott, QB	DAL	57	282	4.9	18	0	6	17.6	3	21
2016	68	Tyreek Hill, WR	KC	24	267	11.1	70	4	3	16.7	0	10
2016	69	Dwayne Washington, RB	DET	90	265	2.9	28	1	1	22.1	0	11
2016	70 	Fozzy Whittaker, RB	CAR	57	265	4.6	25	1	0	16.6	1	10
