Year	RK	PLAYER	TEAM	ATT	YDS	YDS/A	LONG	20+	TD	YDS/G	FUM	1DN
2012	1	Adrian Peterson, RB	MIN	348	2,097	6.0	82	27	12	131.1	3	85
2012	2	Alfred Morris, RB	WSH	335	1,613	4.8	39	9	13	100.8	4	83
2012	3	Marshawn Lynch, RB	SEA	315	1,590	5.0	77	9	11	99.4	4	68
2012	4	Jamaal Charles, RB	KC	285	1,509	5.3	91	11	5	94.3	5	62
2012	5	Doug Martin, RB	TB	319	1,454	4.6	70	11	11	90.9	1	58
2012	6	Arian Foster, RB	HOU	351	1,424	4.1	46	9	15	89.0	3	78
2012	7	Stevan Ridley, RB	NE	290	1,263	4.4	41	6	12	78.9	4	82
2012	8	C.J. Spiller, RB	BUF	207	1,244	6.0	62	12	6	77.8	2	52
2012	9	Chris Johnson, RB	TEN	276	1,243	4.5	94	8	6	77.7	3	45
2012	10	Frank Gore, RB	SF	258	1,214	4.7	37	7	8	75.9	2	67
2012	11	Ray Rice, RB	BAL	257	1,143	4.4	46	5	9	71.4	1	51
2012	12	Matt Forte, RB	CHI	248	1,094	4.4	46	6	5	72.9	2	45
2012	12	BenJarvus Green-Ellis, RB	CIN	278	1,094	3.9	48	7	6	72.9	3	54
2012	14	Shonn Greene, RB	NYJ	276	1,063	3.9	36	2	8	66.4	3	52
2012	15	Steven Jackson, RB	STL	258	1,045	4.1	46	5	4	65.3	0	47
2012	16	Ahmad Bradshaw, RB	NYG	221	1,015	4.6	37	4	6	72.5	3	56
2012	17	Reggie Bush, RB	MIA	227	986	4.3	65	6	6	61.6	4	43
2012	18	Trent Richardson, RB	CLE	267	950	3.6	32	2	11	63.3	3	36
2012	19	LeSean McCoy, RB	PHI	200	840	4.2	34	7	2	70.0	4	45
2012	20	Robert Griffin, QB	WSH	120	815	6.8	76	6	7	54.3	9	40
2012	21	Vick Ballard, RB	IND	211	814	3.9	26	4	2	50.9	3	50
2012	22	Michael Turner, RB	ATL	222	800	3.6	43	5	10	50.0	3	40
2012	23	Mikel Leshoure, RB	DET	215	798	3.7	16	0	9	57.0	3	46
2012	24	Cam Newton, QB	CAR	127	741	5.8	72	9	8	46.3	4	49
2012	25	DeAngelo Williams, RB	CAR	173	737	4.3	65	5	5	46.1	2	32
2012	26	Willis McGahee, RB	DEN	167	731	4.4	31	2	4	73.1	5	43
2012	27	Darren McFadden, RB	OAK	216	707	3.3	64	4	2	58.9	1	33
2012	27	Ryan Mathews, RB	SD	184	707	3.8	31	1	1	58.9	2	34
2012	29	DeMarco Murray, RB	DAL	161	663	4.1	48	5	4	66.3	2	39
2012	30	Jonathan Dwyer, RB	PIT	156	623	4.0	34	3	2	47.9	2	27
2012	31	Mark Ingram, RB	NO	156	602	3.9	31	4	5	37.6	0	28
2012	32	Bryce Brown, RB	PHI	115	564	4.9	65	6	4	35.3	4	33
2012	33	Bernard Pierce, RB	BAL	108	532	4.9	78	3	1	33.3	0	21
2012	34	Knowshon Moreno, RB	DEN	138	525	3.8	20	1	4	65.6	1	32
2012	35	Russell Wilson, QB	SEA	94	489	5.2	25	2	4	30.6	2	30
2012	36	Daryl Richardson, RB	STL	98	475	4.8	53	4	0	29.7	2	19
2012	37	Pierre Thomas, RB	NO	105	473	4.5	48	2	1	31.5	0	16
2012	38	Alex Green, RB	GB	135	464	3.4	41	2	0	38.7	0	17
2012	39	Fred Jackson, RB	BUF	115	437	3.8	15	0	3	43.7	4	25
2012	39	Bilal Powell, RB	NYJ	110	437	4.0	18	0	4	31.2	0	23
2012	41	Donald Brown, RB	IND	108	417	3.9	19	0	1	41.7	0	20
2012	42	Colin Kaepernick, QB	SF	63	415	6.6	50	3	5	31.9	7	18
2012	43	Joique Bell, RB	DET	82	414	5.0	67	3	3	25.9	1	16
2012	43	Maurice Jones-Drew, RB	JAX	86	414	4.8	59	3	1	69.0	1	21
2012	45	Michael Bush, RB	CHI	114	411	3.6	20	2	5	31.6	1	28
2012	46	Isaac Redman, RB	PIT	110	410	3.7	28	3	2	29.3	2	27
2012	47	Felix Jones, RB	DAL	111	402	3.6	22	1	3	25.1	1	23
2012	48	Andre Brown, RB	NYG	73	385	5.3	31	3	8	38.5	0	25
2012	49	Justin Forsett, RB	HOU	63	374	5.9	81	3	1	23.4	0	14
2012	50	Kendall Hunter, RB	SF	72	371	5.2	26	2	2	33.7	0	18
2012	51	Jacquizz Rodgers, RB	ATL	94	362	3.9	43	2	1	22.6	0	16
2012	52	David Wilson, RB	NYG	71	358	5.0	52	5	4	22.4	1	17
2012	53	LaRod Stephens-Howling, RB	ARI	110	356	3.2	52	3	4	25.4	0	15
2012	54	Robert Turbin, RB	SEA	80	354	4.4	26	2	0	22.1	0	15
2012	55	Jonathan Stewart, RB	CAR	93	336	3.6	21	2	1	37.3	1	14
2012	56	Michael Vick, QB	PHI	62	332	5.4	20	1	1	33.2	7	20
2012	57	Ronnie Hillman, RB	DEN	85	330	3.9	31	3	1	23.6	2	19
2012	58	Daniel Thomas, RB	MIA	91	325	3.6	20	2	4	27.1	3	15
2012	59	Jackie Battle, RB	SD	95	311	3.3	52	2	3	19.4	0	19
2012	60	Peyton Hillis, RB	KC	85	309	3.6	18	0	1	23.8	2	19
2012	61	Danny Woodhead, RB	NE	76	301	4.0	19	0	4	18.8	0	19
2012	62	Jake Locker, QB	TEN	41	291	7.1	32	5	1	26.5	2	13
2012	63	Rashad Jennings, RB	JAX	101	283	2.8	21	1	2	28.3	3	16
2012	64	Ben Tate, RB	HOU	65	279	4.3	25	2	2	25.4	1	17
2012	65	Brandon Bolden, RB	NE	56	274	4.9	27	4	2	27.4	0	18
2012	66	Montario Hardesty, RB	CLE	65	271	4.2	25	1	1	20.8	2	12
2012	66	Marcel Reece, FB	OAK	59	271	4.6	17	0	0	16.9	1	16
2012	68	Aaron Rodgers, QB	GB	54	259	4.8	27	2	2	16.2	0	20
2012	69	Cedric Peerman, RB	CIN	36	258	7.2	48	3	1	18.4	0	10
2012	70	James Starks, RB	GB	71	255	3.6	22	1	1	42.5	1	12
2012	70	Andrew Luck, QB	IND	62	255	4.1	19	0	5	15.9	1	23
2012	72	Christian Ponder, QB	MIN	60	253	4.2	29	4	2	15.8	2	11
2012	73	Shane Vereen, RB	NE	62	251	4.0	16	0	3	19.3	0	15
2012	74	Lamar Miller, RB	MIA	51	250	4.9	28	2	1	19.2	0	12
2012	75	Cedric Benson, RB	GB	71	248	3.5	11	0	1	49.6	1	10
2012	76	Darren Sproles, RB	NO	48	244	5.1	47	2	1	18.8	0	9
2012	77	Beanie Wells, RB	ARI	88	234	2.7	31	1	5	29.3	1	11
2012	78	Jay Cutler, QB	CHI	41	233	5.7	24	2	0	15.5	1	15
2012	78	Shaun Draughn, RB	KC	59	233	3.9	25	1	2	14.6	1	16
2012	80	Mike Goodson, RB	OAK	35	221	6.3	43	3	0	18.4	0	6
2012	81	Ronnie Brown, RB	SD	46	220	4.8	21	1	0	15.7	0	12
2012	82	Chris Ivory, RB	NO	40	217	5.4	56	3	2	36.2	0	7
2012	82	William Powell, RB	ARI	60	217	3.6	17	0	0	16.7	0	10
2012	84	Ryan Tannehill, QB	MIA	49	211	4.3	31	3	2	13.2	4	16
2012	85	Montell Owens, RB	JAX	42	209	5.0	32	1	1	16.1	0	10
2012	86	Ryan Fitzpatrick, QB	BUF	48	197	4.1	20	1	1	12.3	0	9
2012	87	Tashard Choice, RB	BUF	47	193	4.1	22	1	1	16.1	0	9
2012	88	Mike Tolbert, FB	CAR	54	183	3.4	13	0	7	11.4	0	24
2012	89	Rashard Mendenhall, RB	PIT	51	182	3.6	20	1	0	30.3	3	8
2012	90	Joe McKnight, RB	NYJ	30	179	6.0	61	2	0	11.9	1	7
2012	91	Toby Gerhart, RB	MIN	50	169	3.4	22	1	1	10.6	2	10
2012	92	Ryan Williams, RB	ARI	58	164	2.8	25	2	0	32.8	2	7
2012	93	Lance Ball, RB	DEN	42	158	3.8	22	1	1	10.5	0	10
2012	94	DuJuan Harris, RB	GB	34	157	4.6	21	1	2	39.3	0	8
2012	95	LeGarrette Blount, RB	TB	41	151	3.7	35	1	2	11.6	0	7
2012	96	Matt Cassel, QB	KC	27	145	5.4	21	1	1	16.1	3	12
2012	97	Jalen Parmele, RB	JAX	40	143	3.6	28	1	0	13.0	0	8
2012	98	Matt Ryan, QB	ATL	34	141	4.1	16	0	1	8.8	1	7
2012	99	Josh Freeman, QB	TB	39	139	3.6	13	0	0	8.7	2	16
2012	100	Kevin Smith, RB	DET	37	134	3.6	19	0	1	11.2	0	4
2012	101	Randall Cobb, WR	GB	10	132	13.2	28	2	0	8.8	0	7
2012	101	Alex Smith, QB	SF	31	132	4.3	24	1	0	13.2	1	6
2012	103	Ryan Grant, RB	GB/WSH	31	127	4.1	18	0	2	31.8	1	7
2012	104	Matthew Stafford, QB	DET	35	126	3.6	11	0	4	7.9	3	11
2012	105	LaMichael James, RB	SF	27	125	4.6	26	1	0	31.3	1	8
2012	106	Armando Allen, RB	CHI	27	124	4.6	46	1	1	8.3	0	6
2012	106	Sam Bradford, QB	STL	36	124	3.4	21	1	1	7.8	2	9
2012	108	Delone Carter, RB	IND	32	122	3.8	20	1	3	12.2	0	11
2012	109	Andy Dalton, QB	CIN	47	120	2.6	17	0	4	7.5	0	14
2012	110	Brad Smith, WR	BUF	14	116	8.3	35	1	1	7.7	1	7
2012	111	Curtis Brinkley, RB	SD	39	115	2.9	13	0	0	11.5	1	8
2012	112	Brandon Weeden, QB	CLE	27	111	4.1	25	1	0	7.4	2	11
2012	113	Brian Leonard, RB	CIN	33	106	3.2	11	0	0	7.1	0	7
2012	114	Tim Tebow, QB	NYJ	32	102	3.2	22	1	0	8.5	0	10
2012	114	Chris Rainey, RB	PIT	26	102	3.9	19	0	2	6.4	0	5
2012	116	Jeremy Stewart, FB	OAK	25	101	4.0	14	0	0	25.3	0	3
2012	117	Kevin Kolb, QB	ARI	16	100	6.3	22	1	1	16.7	0	7
2012	118	Percy Harvin, WR	MIN	22	96	4.4	20	1	1	10.7	2	6
2012	119	Ben Roethlisberger, QB	PIT	26	92	3.5	14	0	0	7.1	1	5
2012	119	Richard Murphy, RB	JAX	23	92	4.0	14	0	0	18.4	0	3
