1	Drew Brees, QB	NO	456	659	69.2	4,952	7.51	69	33	17	29	97.0	310
2	Ben Roethlisberger, QB	PIT	408	608	67.1	4,952	8.15	94	32	9	33	103.3	310
3	Andrew Luck, QB	IND	380	616	61.7	4,761	7.73	80	40	16	27	96.5	298
4	Peyton Manning, QB	DEN	395	597	66.2	4,727	7.92	86	39	15	17	101.5	295
5	Matt Ryan, QB	ATL	415	628	66.1	4,694	7.48	79	28	14	31	93.9	293
6	Eli Manning, QB	NYG	379	601	63.1	4,410	7.34	80	30	14	28	92.1	276
7	Aaron Rodgers, QB	GB	341	520	65.6	4,381	8.43	80	38	5	28	112.2	274
8	Philip Rivers, QB	SD	379	570	66.5	4,286	7.52	59	31	18	36	93.8	268
9	Matthew Stafford, QB	DET	363	602	60.3	4,257	7.07	73	22	12	45	85.7	266
10	Tom Brady, QB	NE	373	582	64.1	4,109	7.06	69	33	9	21	97.4	257
11	Ryan Tannehill, QB	MIA	392	590	66.4	4,045	6.86	50	27	12	46	92.8	253
12	Joe Flacco, QB	BAL	344	554	62.1	3,986	7.20	80	27	12	19	91.0	249
13	Jay Cutler, QB	CHI	370	561	66.0	3,812	6.80	74	28	18	38	88.6	254
14	Tony Romo, QB	DAL	304	435	69.9	3,705	8.52	68	34	9	29	113.2	247
15	Russell Wilson, QB	SEA	285	452	63.1	3,475	7.69	80	20	7	42	95.0	217
16	Andy Dalton, QB	CIN	309	481	64.2	3,398	7.06	81	19	17	21	83.5	212
17	Colin Kaepernick, QB	SF	289	478	60.5	3,369	7.05	80	19	10	52	86.4	211
18	Brian Hoyer, QB	CLE	242	438	55.3	3,326	7.59	81	12	13	24	76.5	238
19	Derek Carr, QB	OAK	348	599	58.1	3,270	5.46	77	21	12	24	76.6	204
20	Alex Smith, QB	KC	303	464	65.3	3,265	7.04	70	18	6	45	93.4	218
21	Cam Newton, QB	CAR	262	448	58.5	3,127	6.98	51	18	12	38	82.1	223
22	Kyle Orton, QB	BUF	287	447	64.2	3,018	6.75	84	18	10	33	87.8	252
23	Teddy Bridgewater, QB	MIN	259	402	64.4	2,919	7.26	87	14	12	39	85.2	225
24	Blake Bortles, QB	JAX	280	475	58.9	2,908	6.12	63	11	17	55	69.5	208
25	Geno Smith, QB	NYJ	219	367	59.7	2,525	6.88	74	13	13	28	77.5	180
26	Ryan Fitzpatrick, QB	HOU	197	312	63.1	2,483	7.96	76	17	8	21	95.3	207
27	Mark Sanchez, QB	PHI	198	309	64.1	2,418	7.83	72	14	11	23	88.4	269
28	Josh McCown, QB	TB	184	327	56.3	2,206	6.75	56	11	14	36	70.5	201
29	Nick Foles, QB	PHI	186	311	59.8	2,163	6.96	68	13	10	9	81.4	270
30	Austin Davis, QB	STL	180	284	63.4	2,001	7.05	59	12	9	29	85.1	200
31	Drew Stanton, QB	ARI	132	240	55.0	1,711	7.13	49	7	5	11	78.7	190
32	Kirk Cousins, QB	WSH	126	204	61.8	1,710	8.38	81	10	9	8	86.4	285
33	Robert Griffin, QB	WSH	147	214	68.7	1,694	7.92	69	4	6	33	86.9	188
34	Shaun Hill, QB	STL	145	229	63.3	1,657	7.24	63	8	7	18	83.9	184
35	Carson Palmer, QB	ARI	141	224	62.9	1,626	7.26	80	11	3	9	95.6	271
36	Mike Glennon, QB	TB	117	203	57.6	1,417	6.98	41	10	6	16	83.3	236
37	Zach Mettenberger, QB	TEN	107	179	59.8	1,412	7.89	80	8	7	18	83.4	202
38	Charlie Whitehurst, QB	TEN	105	185	56.8	1,326	7.17	75	7	2	18	87.4	189
39	Colt McCoy, QB	WSH	91	128	71.1	1,057	8.26	70	4	3	17	96.4	211
40	Jake Locker, QB	TEN	86	146	58.9	993	6.80	61	5	7	14	70.9	142
41	EJ Manuel, QB	BUF	76	131	58.0	838	6.40	80	5	3	6	80.3	168
42	Derek Anderson, QB	CAR	65	97	67.0	701	7.23	35	5	0	4	105.2	117
43	Michael Vick, QB	NYJ	64	121	52.9	604	4.99	67	3	2	19	68.3	60
44	Ryan Lindley, QB	ARI	45	93	48.4	562	6.04	41	2	4	6	56.8	187
45	Chad Henne, QB	JAX	42	78	53.8	492	6.31	63	3	1	16	80.7	164
46	Case Keenum, QB	STL/HOU	45	77	58.4	435	5.65	35	2	2	3	72.2	218
47	Matt Cassel, QB	MIN	41	71	57.7	425	5.99	28	3	4	6	65.8	142
48	Ryan Mallett, QB	HOU	41	75	54.7	400	5.33	41	2	2	1	67.6	133
49	Brandon Weeden, QB	DAL	24	41	58.5	303	7.39	43	3	2	1	85.7	61
50	Matt Hasselbeck, QB	IND	30	44	68.2	301	6.84	32	2	0	2	102.6	75
51	Jimmy Clausen, QB	CHI	26	48	54.2	223	4.65	22	2	1	3	71.8	56
52	Christian Ponder, QB	MIN	22	44	50.0	222	5.05	18	0	2	6	45.8	111
53	Jimmy Garoppolo, QB	NE	19	27	70.4	182	6.74	37	1	0	5	101.2	30
54	Connor Shaw, QB	CLE	14	28	50.0	177	6.32	49	0	1	4	55.2	177
55	Johnny Manziel, QB	CLE	18	35	51.4	175	5.00	32	0	2	3	42.0	35
56	Chase Daniel, QB	KC	16	28	57.1	157	5.61	30	0	0	4	73.1	52
57	Matt McGloin, QB	OAK	12	19	63.2	129	6.79	29	1	2	1	61.0	129
58	Tom Savage, QB	HOU	10	19	52.6	127	6.68	35	0	1	1	51.9	64
59	Logan Thomas, QB	ARI	1	9	11.1	81	9.00	81	1	0	2	101.6	41
60	Mohamed Sanu, WR	CIN	3	3	100.0	79	26.33	50	1	0	1	158.3	5
61	Jason Campbell, QB	CIN	11	19	57.9	74	3.90	38	0	0	1	66.6	19
62	Matt Flynn, QB	GB	8	16	50.0	66	4.13	14	0	1	2	34.9	9
63	T.J. Yates, QB	ATL	3	4	75.0	64	16.00	40	0	1	0	77.1	64
64	Ryan Nassib, QB	NYG	4	5	80.0	60	12.00	29	0	0	2	116.7	15
65	Matt Schaub, QB	OAK	5	10	50.0	57	5.70	16	0	2	3	27.9	5
66	Brock Osweiler, QB	DEN	4	10	40.0	52	5.20	38	1	0	0	90.4	13
67	Matt Simms, QB	NYJ	3	8	37.5	39	4.88	21	0	0	0	53.6	39
68	Ryan Quigley, P	NYJ	1	1	100.0	38	38.00	38	0	0	0	118.8	2
69	Blaine Gabbert, QB	SF	3	7	42.9	38	5.43	20	1	0	0	100.0	38
70	Johnny Hekker, P	STL	2	2	100.0	37	18.50	19	0	0	0	118.8	2
71	Cecil Shorts III, WR	JAX	2	2	100.0	32	16.00	23	1	0	0	158.3	2
72	Sam Martin, P	DET	2	2	100.0	27	13.50	24	0	0	0	118.8	2
73	Robert Golden, S	PIT	1	1	100.0	25	25.00	25	0	0	0	118.8	2
74	Matt Moore, QB	MIA	2	4	50.0	21	5.25	14	0	0	0	65.6	11
75	Antonio Brown, WR	PIT	2	2	100.0	20	10.00	17	1	0	0	147.9	1
76	Bryan Anger, P	JAX	1	1	100.0	19	19.00	19	0	0	0	118.8	1
77	Jermaine Kearse, WR	SEA	1	1	100.0	17	17.00	17	0	0	0	118.8	1
78	Ted Ginn Jr., WR	ARI	1	1	100.0	10	10.00	10	0	0	0	108.3	1
79 	Kellen Clemens, QB	SD	1	3	33.3	10	3.33	10	0	0	1	43.7	5
80 	Shane Lechler, P	HOU	1	1	100.0	10	10.00	10	0	0	0	108.3	1
