1	Tom Brady, QB	NE	398	578	68.9	4,806	8.32	69	50	8	21	117.2	300
2	Drew Brees, QB	NO	440	652	67.5	4,423	6.78	58	28	18	16	89.4	276
3	Tony Romo, QB	DAL	335	520	64.4	4,211	8.10	59	36	19	24	97.4	263
4	Brett Favre, QB	GB	356	535	66.5	4,155	7.77	82	28	15	15	95.7	260
5	Carson Palmer, QB	CIN	373	575	64.9	4,131	7.18	70	26	20	17	86.7	258
6	Jon Kitna, QB	DET	355	561	63.3	4,068	7.25	91	18	20	51	80.9	254
7	Peyton Manning, QB	IND	337	515	65.4	4,040	7.85	73	31	14	21	98.0	253
8	Matt Hasselbeck, QB	SEA	352	562	62.6	3,966	7.06	65	28	12	33	91.4	248
9	Derek Anderson, QB	CLE	298	527	56.5	3,787	7.19	78	29	19	14	82.5	237
10	Jay Cutler, QB	DEN	297	467	63.6	3,497	7.49	68	20	14	27	88.1	219
11	Kurt Warner, QB	ARI	281	451	62.3	3,417	7.58	62	27	17	20	89.8	244
12	Eli Manning, QB	NYG	297	529	56.1	3,336	6.31	60	23	20	27	73.9	209
13	Donovan McNabb, QB	PHI	291	473	61.5	3,324	7.03	75	19	7	44	89.9	237
14	Ben Roethlisberger, QB	PIT	264	404	65.3	3,154	7.81	83	32	11	47	104.1	210
15	Philip Rivers, QB	SD	277	460	60.2	3,152	6.85	49	21	15	22	82.4	197
16	Jason Campbell, QB	WSH	250	417	60.0	2,700	6.48	54	12	11	21	77.6	208
17	Vince Young, QB	TEN	238	382	62.3	2,546	6.67	73	9	17	25	71.1	170
18	David Garrard, QB	JAC	208	325	64.0	2,509	7.72	59	18	3	21	102.2	209
19	Jeff Garcia, QB	TB	209	327	63.9	2,440	7.46	69	13	4	19	94.6	188
20	Marc Bulger, QB	STL	221	378	58.5	2,392	6.33	40	11	15	37	70.3	199
21	Damon Huard, QB	KC	206	332	62.0	2,257	6.80	58	11	13	36	76.8	205
22	Matt Schaub, QB	HOU	192	289	66.4	2,241	7.75	77	9	9	16	87.2	204
23	Joey Harrington, QB	ATL	215	348	61.8	2,215	6.37	69	7	8	32	77.2	185
24	Tarvaris Jackson, QB	MIN	171	294	58.2	1,911	6.50	71	9	12	19	70.8	159
25	Brian Griese, QB	CHI	161	262	61.5	1,803	6.88	81	10	12	15	75.6	258
26	Cleo Lemon, QB	MIA	173	309	56.0	1,773	5.74	64	6	6	25	71.0	197
27	Chad Pennington, QB	NYJ	179	260	68.8	1,765	6.79	57	10	9	26	86.1	196
28	Kyle Boller, QB	BAL	168	275	61.1	1,743	6.34	53	9	10	24	75.2	145
29	Sage Rosenfels, QB	HOU	154	240	64.2	1,684	7.02	53	15	12	6	84.8	187
30	Trent Edwards, QB	BUF	151	269	56.1	1,630	6.06	70	7	8	12	70.4	163
31	Kellen Clemens, QB	NYJ	130	250	52.0	1,529	6.12	56	5	10	27	60.9	153
32	Rex Grossman, QB	CHI	122	225	54.2	1,411	6.27	59	4	7	25	66.4	176
33	Daunte Culpepper, QB	OAK	108	186	58.1	1,331	7.16	59	5	5	21	78.0	190
34	Brodie Croyle, QB	KC	127	224	56.7	1,227	5.48	35	6	6	17	69.9	136
35	J.P. Losman, QB	BUF	111	175	63.4	1,204	6.88	85	4	6	14	76.9	151
36	Trent Dilfer, QB	SF	113	219	51.6	1,166	5.32	57	7	12	27	55.1	167
37	Josh McCown, QB	OAK	111	190	58.4	1,151	6.06	46	10	11	14	69.4	128
38	Steve McNair, QB	BAL	133	205	64.9	1,113	5.43	30	2	4	11	73.9	186
39	Chris Redman, QB	ATL	89	149	59.7	1,079	7.24	74	10	5	9	90.4	154
40	Gus Frerotte, QB	STL	94	167	56.3	1,014	6.07	38	7	12	11	58.3	127
41	Luke McCown, QB	TB	94	139	67.6	1,009	7.26	60	5	3	15	91.7	202
42	Trent Green, QB	MIA	85	141	60.3	987	7.00	43	5	7	7	72.6	197
43	Quinn Gray, QB	JAC	80	144	55.6	986	6.85	80	10	5	10	85.6	123
44	Vinny Testaverde, QB	CAR	94	172	54.7	952	5.54	65	5	6	9	65.8	136
45	Alex Smith, QB	SF	94	193	48.7	914	4.74	45	2	4	17	57.2	131
46	Todd Collins, QB	WSH	67	105	63.8	888	8.46	54	5	0	7	106.4	222
47	Matt Moore, QB	CAR	63	111	56.8	730	6.58	57	3	5	6	67.0	81
48	A.J. Feeley, QB	PHI	59	103	57.3	681	6.61	47	5	8	3	61.2	227
49	Matt Leinart, QB	ARI	60	112	53.6	647	5.78	40	2	4	4	61.9	129
50	David Carr, QB	CAR	73	136	53.7	635	4.67	38	3	5	13	58.3	106
51	Jake Delhomme, QB	CAR	55	86	64.0	624	7.26	74	8	1	5	111.8	208
52	John Beck, QB	MIA	60	107	56.1	559	5.22	22	1	3	10	62.0	112
53	Kerry Collins, QB	TEN	50	82	61.0	531	6.48	46	0	0	5	79.9	89
54	Kelly Holcomb, QB	MIN	42	83	50.6	515	6.21	40	2	1	12	73.1	172
55	Shaun Hill, QB	SF	54	79	68.4	501	6.34	26	5	1	6	101.3	167
56	Kyle Orton, QB	CHI	43	80	53.8	478	5.98	55	3	2	2	73.9	159
57	Troy Smith, QB	BAL	40	76	52.6	452	5.95	79	2	0	4	79.5	113
58	Brooks Bollinger, QB	MIN	33	50	66.0	391	7.82	50	1	1	7	88.0	78
59	JaMarcus Russell, QB	OAK	36	66	54.5	373	5.65	32	2	4	6	55.9	93
60	Byron Leftwich, QB	ATL	32	58	55.2	279	4.81	23	1	2	6	59.5	93
61	Patrick Ramsey, QB	DEN	29	48	60.4	262	5.46	21	1	1	3	73.4	131
62	Charlie Batch, QB	PIT	17	36	47.2	232	6.44	59	2	3	0	52.1	33
63	Aaron Rodgers, QB	GB	20	28	71.4	218	7.79	43	1	0	3	106.0	109
64	Seneca Wallace, QB	SEA	19	28	67.9	215	7.68	45	2	1	3	99.6	22
65	Tim Rattay, QB	ARI	15	27	55.6	164	6.07	42	3	3	0	71.1	41
66	Brock Berlin, QB	STL	17	28	60.7	153	5.46	23	0	1	0	60.6	153
67	J.T. O'Sullivan, QB	DET	13	26	50.0	148	5.69	42	1	2	3	48.2	37
68	Jim Sorgi, QB	IND	18	36	50.0	132	3.67	12	1	0	2	68.3	33
69	Bruce Gradkowski, QB	TB	13	24	54.2	130	5.42	20	0	1	2	52.4	33
70	Chris Weinke, QB	SF	13	22	59.1	104	4.73	21	1	0	5	86.2	52
71	Sidney Rice, WR	MIN	2	2	100.0	94	47.00	79	0	0	0	118.8	7
