Year	RK	PLAYER	TEAM	REC	TAR	YDS	AVG	TD	LONG	20+	YDS/G	FUM	YAC	1DN
2004 	1	Muhsin Muhammad, WR	CAR	93	0	1,405	15.1	16	51	24	87.8	2	0	74
2004 	2	Joe Horn, WR	NO	94	0	1,399	14.9	11	57	22	87.4	0	0	73
2004 	3	Javon Walker, WR	GB	89	0	1,382	15.5	12	79	19	86.4	2	0	63
2004 	4	Torry Holt, WR	STL	94	0	1,372	14.6	10	75	21	85.8	3	0	58
2004 	5	Isaac Bruce, WR	STL	89	0	1,292	14.5	6	56	20	80.8	5	0	64
2004 	6	Chad Johnson, WR	CIN	95	0	1,274	13.4	9	53	17	79.6	1	0	63
2004 	7	Tony Gonzalez, TE	KC	102	0	1,258	12.3	7	32	19	78.6	0	0	69
2004 	8	Drew Bennett, WR	TEN	80	0	1,247	15.6	11	48	20	77.9	2	0	62
2004 	9	Reggie Wayne, WR	IND	77	0	1,210	15.7	12	71	19	75.6	0	0	59
2004 	10	Donald Driver, WR	GB	84	0	1,208	14.4	9	50	16	75.5	1	0	59 
2004 	11	Terrell Owens, WR	PHI	77	0	1,200	15.6	14	59	20	85.7	2	0	51
2004 	12	Darrell Jackson, WR	SEA	87	0	1,199	13.8	7	56	16	74.9	2	0	59
2004 	13	Michael Clayton, WR	TB	80	0	1,193	14.9	7	75	19	74.6	0	0	56
2004 	14	Jimmy Smith, WR	JAC	74	0	1,172	15.8	6	65	19	73.3	2	0	52
2004 	15	Derrick Mason, WR	TEN	96	0	1,168	12.2	7	37	12	73.0	0	0	67
2004 	16	Rod Smith, WR	DEN	79	0	1,144	14.5	7	85	14	71.5	1	0	52
2004 	17	Andre Johnson, WR	HOU	79	0	1,142	14.5	6	54	18	71.4	1	0	53
2004 	18	Marvin Harrison, WR	IND	86	0	1,113	12.9	15	59	16	69.6	1	0	63
2004 	19	Eddie Kennison, WR	KC	62	0	1,086	17.5	8	70	18	77.6	1	0	47
2004 	20	Ashley Lelie, WR	DEN	54	0	1,084	20.1	7	58	21	67.8	0	0	40 
2004 	21	Brandon Stokley, WR	IND	68	0	1,077	15.8	10	69	20	67.3	1	0	53
2004 	22	Eric Moulds, WR	BUF	88	0	1,043	11.9	5	49	12	65.2	1	0	53
2004 	23	Nate Burleson, WR	MIN	68	0	1,006	14.8	9	68	14	62.9	0	0	50
2004 	24	Hines Ward, WR	PIT	80	0	1,004	12.6	4	58	15	62.8	1	0	52
2004 	25	Jerry Porter, WR	OAK	64	0	998	15.6	9	52	17	62.4	2	0	47
