Year	RK	PLAYER	TEAM	REC	TAR	YDS	AVG	TD	LONG	20+	YDS/G	FUM	YAC	1DN
2012	1	Calvin Johnson, WR	DET	122	205	1,964	16.1	5	53	40	122.8	3	525	92
2012	2	Andre Johnson, WR	HOU	112	164	1,598	14.3	4	60	23	99.9	0	552	79
2012	3	Brandon Marshall, WR	CHI	118	194	1,508	12.8	11	56	18	94.3	2	360	75
2012	4	Demaryius Thomas, WR	DEN	94	141	1,434	15.3	10	71	29	89.6	3	538	60
2012	5	Vincent Jackson, WR	TB	72	147	1,384	19.2	8	95	24	86.5	0	394	61
2012	6	Dez Bryant, WR	DAL	92	138	1,382	15.0	12	85	19	86.4	2	463	54
2012	7	Reggie Wayne, WR	IND	106	194	1,355	12.8	5	33	22	84.7	1	371	73
2012	8	Wes Welker, WR	NE	118	174	1,354	11.5	6	59	13	84.6	2	702	72
2012	9	Roddy White, WR	ATL	92	143	1,351	14.7	7	59	18	84.4	1	346	73
2012	10	A.J. Green, WR	CIN	97	164	1,350	13.9	11	73	16	84.4	2	427	61
2012	11	Julio Jones, WR	ATL	79	129	1,198	15.2	10	80	17	74.9	0	486	56
2012	12	Steve Smith, WR	CAR	73	138	1,174	16.1	4	66	17	73.4	0	268	51
2012	13	Marques Colston, WR	NO	83	132	1,154	13.9	10	60	15	72.1	4	306	65
2012	14	Michael Crabtree, WR	SF	85	126	1,105	13.0	9	49	15	69.1	0	536	57
2012	15	Victor Cruz, WR	NYG	86	143	1,092	12.7	10	80	12	68.3	0	332	52
2012	16	Brian Hartline, WR	MIA	74	128	1,083	14.6	1	80	14	67.7	1	263	48
2012	17	Eric Decker, WR	DEN	85	123	1,064	12.5	13	55	11	66.5	0	290	52
2012	18	Steve Johnson, WR	BUF	79	148	1,046	13.2	6	63	12	65.4	1	381	52
2012	19	Lance Moore, WR	NO	65	105	1,041	16.0	6	51	14	69.4	0	162	55
2012	20	Jason Witten, TE	DAL	110	150	1,039	9.4	3	36	8	64.9	0	310	56
2012	21	Mike Williams, WR	TB	63	127	996	15.8	9	65	17	62.3	0	350	44
2012	22	Jimmy Graham, TE	NO	85	135	982	11.6	9	46	12	65.5	1	315	59
2012	23	Cecil Shorts, WR	JAC	55	106	979	17.8	7	80	17	69.9	1	375	36
2012	24	Randall Cobb, WR	GB	80	104	954	11.9	8	39	17	63.6	0	479	45
2012	25	Miles Austin, WR	DAL	66	118	943	14.3	6	49	13	58.9	1	296	48
2012	26	Tony Gonzalez, TE	ATL	93	124	930	10.0	8	25	3	58.1	0	250	65
2012	27	Anquan Boldin, WR	BAL	65	112	921	14.2	4	43	17	61.4	0	267	45
2012	28	Brandon Lloyd, WR	NE	74	130	911	12.3	4	53	10	56.9	0	192	50
2012	29	Justin Blackmon, WR	JAC	64	133	865	13.5	5	81	9	54.1	1	284	41
2012	30	T.Y. Hilton, WR	IND	50	91	861	17.2	7	70	13	57.4	0	388	30
2012	31	Jeremy Maclin, WR	PHI	69	122	857	12.4	7	70	12	57.1	1	281	36
2012	32	Torrey Smith, WR	BAL	49	110	855	17.4	8	54	16	53.4	0	248	38
2012	33	Greg Olsen, TE	CAR	69	104	843	12.2	5	47	11	52.7	0	252	42
2012	34	Mike Wallace, WR	PIT	64	119	836	13.1	8	82	9	55.7	2	276	33
2012	35	Jeremy Kerley, WR	NYJ	56	96	827	14.8	2	66	14	51.7	2	312	31
2012	36	Heath Miller, TE	PIT	71	101	816	11.5	8	43	11	54.4	0	368	44
2012	37	Malcom Floyd, WR	SD	56	84	814	14.5	5	39	15	58.1	0	122	47
2012	38	Brandon Myers, TE	OAK	79	105	806	10.2	4	29	9	50.4	0	286	41
2012	39	Josh Gordon, WR	CLE	50	96	805	16.1	5	71	12	50.3	1	312	40
2012	40	Dwayne Bowe, WR	KC	59	114	801	13.6	3	47	11	61.6	1	247	432012
2012	41	Larry Fitzgerald, WR	ARI	71	153	798	11.2	4	37	9	49.9	0	284	44
2012	42	Rob Gronkowski, TE	NE	55	79	790	14.4	11	41	13	71.8	1	316	45
2012	43	Antonio Brown, WR	PIT	66	105	787	11.9	5	60	10	60.5	2	344	43
2012	44	James Jones, WR	GB	64	98	784	12.3	14	49	11	49.0	0	236	45
2012	45	Donnie Avery, WR	IND	60	125	781	13.0	3	48	9	48.8	1	213	37
2012	46	Davone Bess, WR	MIA	61	104	778	12.8	1	39	11	59.8	1	267	38
2012	47	Andre Roberts, WR	ARI	64	113	759	11.9	5	46	10	50.6	1	234	40
2012	48	Sidney Rice, WR	SEA	50	80	748	15.0	7	46	11	46.8	0	164	37
2012	49	Nate Washington, WR	TEN	46	89	746	16.2	4	71	14	46.6	1	247	31
2012	50	Jordy Nelson, WR	GB	49	73	745	15.2	7	73	8	62.1	0	256	36
2012	51	Denarius Moore, WR	OAK	51	115	741	14.5	7	58	12	49.4	1	267	33
2012	52	Jermaine Gresham, TE	CIN	64	94	737	11.5	5	55	8	46.1	2	429	33
2012	53	Owen Daniels, TE	HOU	62	103	716	11.5	6	39	7	47.7	0	328	37
2012	54	DeSean Jackson, WR	PHI	45	85	700	15.6	2	77	9	63.6	1	244	30
2012	55	Chris Givens, WR	STL	42	81	698	16.6	3	65	10	46.5	0	291	25
2012	56	Hakeem Nicks, WR	NYG	53	100	692	13.1	3	50	12	53.2	0	215	35
2012	57	Brandon Gibson, WR	STL	51	82	691	13.5	5	34	9	43.2	0	116	43
2012	58	Golden Tate, WR	SEA	45	68	688	15.3	7	51	12	45.9	1	272	29
2012	59	Brent Celek, TE	PHI	57	87	684	12.0	1	34	10	45.6	1	330	32
2012	60	Percy Harvin, WR	MIN	62	85	677	10.9	3	45	8	75.2	0	509	36
2012	60 	Brandon LaFell, WR	CAR	44	76	677	15.4	4	62	13	48.4	1	312	31
2012	62	Dennis Pitta, TE	BAL	61	93	669	11.0	7	61	8	41.8	0	283	29
2012	63	Darren Sproles, RB	NO	75	104	667	8.9	7	44	7	51.3	0	673	29
2012	63 	Jermichael Finley, TE	GB	61	88	667	10.9	2	40	10	41.7	1	302	31
2012	65	Danny Amendola, WR	STL	63	101	666	10.6	3	56	5	60.5	2	263	38
2012	66	Danario Alexander, WR	SD	37	62	658	17.8	7	80	9	65.8	0	299	29
2012	67	Jason Avant, WR	PHI	53	76	648	12.2	0	39	8	46.3	1	167	32
2012	68	Greg Little, WR	CLE	53	91	647	12.2	4	43	11	40.4	0	190	36
2012	69	Pierre Garcon, WR	WSH	44	67	633	14.4	4	88	10	63.3	0	325	26
2012	70	Martellus Bennett, TE	NYG	55	90	626	11.4	5	33	7	39.1	0	203	35
2012	70 	Emmanuel Sanders, WR	PIT	44	74	626	14.2	1	37	11	39.1	2	218	31
2012	70 	Kendall Wright, WR	TEN	64	104	626	9.8	4	38	6	41.7	1	330	38
2012	73	Darrius Heyward-Bey, WR	OAK	41	80	606	14.8	5	59	8	40.4	0	240	25
2012	74	Kenny Britt, WR	TEN	45	90	589	13.1	4	46	7	42.1	2	151	24
2012	75	Rod Streater, WR	OAK	39	74	584	15.0	3	64	6	36.5	1	158	27
2012	76	Santana Moss, WR	WSH	41	61	573	14.0	8	77	10	35.8	2	245	26
2012	77	Scott Chandler, TE	BUF	43	73	571	13.3	6	43	10	38.1	2	199	36
2012	78	Brandon Pettigrew, TE	DET	59	100	567	9.6	3	24	3	40.5	4	246	33
2012	78 	Domenik Hixon, WR	NYG	39	59	567	14.5	2	41	6	43.6	0	140	24
2012	80	Michael Floyd, WR	ARI	45	86	562	12.5	2	53	6	35.1	1	161	26
2012	81	Jacob Tamme, TE	DEN	52	85	555	10.7	2	36	6	34.7	0	215	29
2012	82	Vernon Davis, TE	SF	41	61	548	13.4	5	53	12	34.3	0	174	26
2012	83	Brandon Stokley, WR	DEN	45	58	544	12.1	5	38	8	36.3	0	144	30
2012	84	Leonard Hankerson, WR	WSH	38	57	543	14.3	3	68	8	33.9	0	157	25
2012	85	Marcedes Lewis, TE	JAC	52	78	540	10.4	4	26	9	33.8	0	260	25
2012	86	Antonio Gates, TE	SD	49	78	538	11.0	7	34	5	35.9	0	149	30
2012	87	Andrew Hawkins, WR	CIN	51	80	533	10.5	4	59	5	38.1	1	351	24
2012	88	Jared Cook, TE	TEN	44	72	523	11.9	4	61	8	40.2	1	169	24
2012	89	Dwayne Allen, TE	IND	45	66	521	11.6	3	40	9	32.6	1	251	30
2012	90	Lance Kendricks, TE	STL	42	64	519	12.4	4	80	6	32.4	1	239	25
2012	91	Kevin Walter, WR	HOU	41	68	518	12.6	2	52	5	32.4	0	105	27
2012	92	Josh Morgan, WR	WSH	48	73	510	10.6	2	32	4	31.9	1	236	29
2012	93	Tony Scheffler, TE	DET	42	84	504	12.0	1	57	6	33.6	0	126	28
2012	94	Benjamin Watson, TE	CLE	49	82	501	10.2	3	27	5	31.3	1	218	27
2012	95	Marcel Reece, FB	OAK	52	73	496	9.5	1	56	7	31.0	1	351	21
2012	96	Kyle Rudolph, TE	MIN	53	93	493	9.3	9	29	5	30.8	0	288	34
2012	97	Joique Bell, RB	DET	52	68	485	9.3	0	50	2	30.3	0	427	28
2012	98	Aaron Hernandez, TE	NE	51	84	483	9.5	5	31	5	48.3	0	230	27
2012	99	Ray Rice, RB	BAL	61	84	478	7.8	1	43	6	29.9	0	507	22
2012	100	Doug Martin, RB	TB	49	71	472	9.6	1	64	4	29.5	0	451	18
